SHAP SWINDALE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY497125,Long,-2.7782922,Lat,54.505306,Elevation,1610,ft,,,,,,,,,,,,
Station no,RR6573,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.85,10,19.5,17,9.1,-999,9.45,4.25,6.75,19.45,10,,,,,,,,
February,,7.18,11.4,9.95,9.2,19.35,-999,7.05,1.35,2.95,1.95,0.25,,,,,,,,
March,,7.27,10.2,4.75,6.95,9.65,-999,2.1,5.2,5.2,3.95,,,,,,,,,
April,,2.1,7.55,2.8,2.75,4.7,5.5,4.95,4,5.9,3.9,,,,,,,,,
May,,9.25,5.7,4.8,9.25,6.25,8.55,4.05,5.95,4,5,,,,,,,,,
June,,8.1,7.9,6.7,1.4,2.9,3.1,0.4,3.15,2.45,4.95,,,,,,,,,
July,,8.7,14.85,4.75,7.45,-999,9.9,4.65,11.05,4.05,5.75,,,,,,,,,
August,,11.3,6.4,7.05,1.3,-999,5.1,4.2,4.7,5.85,9.05,,,,,,,,,
September,6.45,4.6,4.8,7.45,9.1,9.5,12.1,8.95,0.85,2.3,-999,,,,,,,,,
October,2.03,4.6,7.1,10.75,5.9,9.35,12.1,5.05,14.2,11.05,-999,,,,,,,,,
November,17.05,17.4,11.9,11.7,6.75,6.35,10.05,7.4,13.45,3.95,-999,,,,,,,,,
December,7.68,13.4,8.9,7.05,17.2,6.5,10.9,9.55,13.4,9.1,0.45,,,,,,,,,
Total,,94.75,106.7,97.25,94.25,94.5,96.95,67.8,81.55,63.55,74,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1885 July/Aug bracketed,,,,,,,,,,,,,,,,,,,,
1886 Jan/Feb/Mar bracketed,,,,,,,,,,,,,,,,,,,,
1890 Sept/Oct/Nov bracketed,,,,,,,,,,,,,,,,,,,,
"Poor NGR - appropriate elevation within Sindale, on the side of the old Corpse Road.",,,,,,,,,,,,,,,,,,,,
Observer apparently lived in Shap.,,,,,,,,,,,,,,,,,,,,
