EAST HAM WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ437842,Long,0.070615,Lat,51.538416,Elevation,17,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.54,2.05,2.27,0.55,0.61,1.82,1.79,0.97,3.58,0.76,1.29,0.85,1.34,1.32,3.17,2.77,0.39,3.69,0.94,1.2,2.73,2.54,1.89,1.59,2.23,0.78,2.49,1.65,2.05,1.13,3.09,0.83,2.13,1.09,1.31,0.93,0.95,1.03,2.7,2.78,2.15,4.2,2.05,2.79,2.12,4.18,1.19,1.46,1.25,1.54,2.82,0.74,1.13,2.04,1.45,0.84,1.03,2.28,3.24,1.17,1.64,1.42,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.87,1.7,2.51,0.66,1.01,0.83,2.04,0.56,1.62,0.92,1.38,0.68,2.12,1.28,1.39,0.55,2.03,2.18,3.35,0.88,0.93,2.63,0.49,0.2,1.56,2.39,0.78,2.51,2.91,2.99,1.32,0.4,0.8,1.54,0.28,1.37,0.08,1.83,1.22,3.73,0.44,0.71,1.33,1.68,0.82,1.21,0.76,1.13,2.16,1.28,1.29,0.73,2.93,5.63,0.77,1.72,2.11,1.35,0.24,2.68,1.87,0.05,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,0.94,0.48,0.87,1.52,1.12,1.96,1.1,2.96,0.86,0.79,1.98,2.82,0.93,2.12,2.3,2.02,3.65,0.69,3.71,1.94,0.94,3.58,1.21,0.88,1.1,1.82,0.69,0.82,0.18,1.93,1.36,0.03,1.42,0.17,1.57,1.71,1.68,0.27,1.02,2.51,0.28,1.31,3.16,2.89,1.98,0.4,0.04,0.97,1.09,5.26,0.65,0.83,0.58,2.74,2.38,0.47,1.89,0.95,0.89,1.1,0.92,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.25,2.31,0.87,1.58,0.38,1.69,0.75,1.73,0.75,3.34,2.39,1.56,1.39,1.67,0.06,2.27,0.82,1.05,1.13,1.85,3.46,3.21,2.39,1.21,2.33,1.18,2.62,1.64,3.69,1.6,1.07,1.18,1.26,3.44,1.95,0.68,1.94,2.41,1.05,2.69,0.08,2.48,1.41,1.69,0.75,1.23,1.16,0.78,1.34,1.44,1.08,1.17,2.15,2.69,0.79,2.17,0.25,0.28,1.08,0.1,1.61,1.49,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.78,1.69,1.35,1.52,3.01,1.44,1.9,0.64,1.27,2,1.59,1.36,1.83,0.99,0.98,1.3,1.78,2.98,1.57,3.85,2.06,0.32,0.41,1.22,0.66,1.49,3.1,1.43,1.29,1.47,1.65,1.79,2.92,2.54,3.76,2.29,0.42,1.22,0.43,3.17,1.4,1.8,1.54,1.85,2.57,1.8,0.87,2.08,3.28,0.79,1.88,1.96,1.41,1.59,0.85,0.93,1.72,4.16,0.64,0.95,1.87,1,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.92,1.25,4.09,0.95,3.1,5.53,0.81,3.05,1.88,1.6,1.5,2.72,2,2.58,2.7,0.35,1.16,0.74,1.74,1.66,1.02,1.67,1.22,0.49,1.12,0.51,3.14,0.13,3.41,2.32,2.2,0.76,1.3,1.24,0.68,2.53,1.64,2.27,2.55,2.28,0.39,1.42,0.46,1.48,0.2,1.36,1.76,1.52,1.96,2.39,4.07,0.62,1.14,0.92,1.79,1.23,2.68,1.9,3.04,0.53,4.71,0.49,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.52,1.33,1.58,2.58,1.2,6.59,1.87,0.44,0.68,1.95,4.56,3.05,2.34,0.36,1.51,1.82,1.44,3.75,1.45,3.64,6.73,2.51,3.15,0.08,2.35,2.42,2.69,4.21,2.26,2.28,1.86,1.52,1.7,2.6,2.09,1.4,0.93,0.38,2.22,1.56,1.18,2.17,4.08,2.03,1.54,1.61,1.12,3.32,2.5,1.7,0.87,2.41,3.11,1.36,0.61,2.95,2.12,1.26,2.88,4.09,1.62,0.82,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,0.62,0.59,2.32,1.74,2.88,3.52,1.43,2.27,1.85,1.61,2.59,1.56,2.29,0.75,4.15,1.73,1.02,3.81,3.45,4.57,1.1,1.98,1.91,1.18,1.72,1.83,2.29,2.76,2.36,3.55,2.4,1.99,4.51,3.91,3.1,0.41,2.07,1.88,0.37,0.75,1.22,4.53,0.06,4.19,2.18,1.1,2.78,1.41,3.7,0.1,3.91,1.4,1.3,3.47,2.42,1.57,3.48,1.03,3.53,1.56,2.91,1.2,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.28,2.14,0.57,1.23,1.28,1.92,0.99,2.15,1.69,0.84,1.19,2.03,0.79,1.97,1.96,1.37,0.72,1.68,0.93,1.61,4.31,0.91,3.17,1.54,1.65,0.93,2.45,1.87,1.21,4.04,0.61,0.56,2.65,1.44,1.95,2.57,1.16,2.25,2.44,0.9,2.61,1.02,0.98,0.64,1.3,1.44,2.71,1.08,2.36,1.19,1.1,1.39,2,2.64,2.33,1.99,1.71,2.29,1.7,1.8,4.4,0.07,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.53,2.18,1.6,2.55,1.14,4.42,1.54,1.01,2.87,2.69,1.87,3.99,1.93,3.55,1.76,3.44,1.12,1.65,2.21,2.2,1.53,0.92,0.88,0.66,0.92,4.22,2.95,2.59,2.35,1.07,3.31,2.57,0.88,0.64,4.84,1.36,1.02,2.13,1.3,1.78,2.16,5.68,2.32,0.72,3.67,2.12,2.6,1.55,0.76,0.09,1.61,5.54,0.25,0.8,2.16,3.77,1.63,3.36,1.32,1.58,2.25,1.75,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,1.72,3.62,1.57,0.59,1.32,1.53,1.37,2.38,3.47,2.07,0.76,0.72,3.3,3.05,1.48,2.5,2.13,2.28,3.76,1.27,1.97,1.41,0.67,1.87,1.18,1.43,3.01,1.33,4.33,1.96,1.92,4.45,3.53,2.23,0.81,0.9,1.88,2.93,2.62,1.3,2.54,3.96,5.64,2.47,1.92,1.03,2.96,0.23,2.69,0.82,1.69,1.81,4.47,3.86,3.8,0.89,2.99,0.36,0.43,2.25,1.81,2.33,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,2.11,1.18,2.07,2.41,1.12,1.04,1.9,0.61,1.99,2.51,1.54,2.22,2.99,3.41,2.54,0.65,5.04,4.53,2.55,1.14,1.78,2.83,1.94,0.82,2.22,1.81,2.73,2.47,0.54,2.95,2.43,3.83,1.59,0.64,0.42,0.35,4.07,2.08,1.44,2.87,2.14,1.05,0.96,1.75,2,1.41,0.85,2.44,1.85,2.05,1.86,1.29,1.31,1.73,1.9,0.64,1.22,1.37,2.38,1.43,2.56,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,14.08,20.52,21.67,17.88,18.17,32.29,17.49,18.77,22.51,21.08,22.64,23.56,23.25,23.05,24,20.77,21.3,29.03,26.79,25.81,28.56,24.51,19.33,11.74,19.04,20.81,28.94,23.41,26.58,27.29,23.22,19.91,24.69,21.48,22.76,16.5,17.84,20.68,19.36,26.32,16.59,30.33,23.99,24.18,21.05,18.89,18.8,17.97,24.94,18.65,22.83,19.89,21.78,29.47,21.25,19.17,22.83,20.59,21.37,19.24,28.17,,28.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
