HUNGERFORD-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU353673,Long,-1.4939193,Lat,51.403636,Elevation,400,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,796/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.41,4.21,2.84,2.68,2.51,4.83,0.75,1.31,2.64,2.8,5.55,1.18,0.47,3.43,2.26,0.98,1.19,,,,,,
February,,,,,,,,0.72,1.52,2,2.4,0.41,1.16,0.53,1.98,1.93,1.03,1.3,1.21,5.67,6.21,0.53,1.69,2.86,,,,,,
March,,,,,,,,0.15,1.25,2.25,3.26,1.76,0.62,0.15,1,0.87,5.36,1.14,1.54,1.13,4.03,2.68,0.46,2.65,,,,,,
April,,,,,,,,0.04,1.68,1.16,1.44,1.49,0.5,0.65,0.63,1.73,2.69,2.22,1.36,2.3,3.06,1.56,2.94,0.29,,,,,,
May,,,,,,,,1.56,1.4,0.82,1.2,4.04,2.84,0.39,2.27,3.5,1.32,4.59,2.21,2.72,2.94,2.75,2.16,2.26,,,,,,
June,,,,,,,,0.48,1.63,0.44,1.6,0.39,0.77,1.2,3.13,2.55,1.62,2.01,0.94,0.83,0.72,1.79,2,3.99,,,,,,
July,,,,,,,,1.71,5.4,2.54,2.46,1.9,1.11,1.43,0.85,1.15,1.87,0.81,1.44,5.22,2.04,0.42,3.32,2.92,,,,,,
August,,,,,,,,2.32,2.1,0.02,3.98,3.34,1.25,1.12,2.52,4.1,0.39,3.44,1.38,3.1,4.09,3.96,2.24,3.7,,,,,,
September,,,,,,,,1.15,0.72,1.12,0.26,2.15,0.85,2.48,2.31,5.76,1.42,2.35,3.05,3.06,3.19,2.17,2.69,3.42,,,,,,
October,,,,,,,,3.09,4.15,3.58,1.69,5.13,2.94,4.76,3.72,1.49,0.44,2.18,6.83,0.8,0.85,5.01,3.5,2.18,,,,,,
November,,,,,,,,4.03,5.51,7.09,2.72,1.73,1.28,5.67,0.46,5.6,1.63,1.81,3.39,6.4,7.58,3.46,1.12,6.34,,,,,,
December,,,,,,,2.1,4.12,1.67,1.5,1.43,4.45,0.73,2.38,4.13,2.39,2.78,4.13,1.27,1.7,2.89,2.46,,2.95,,,,,,
Total,,,,,,,,21.78,31.24,25.36,25.12,29.3,18.88,21.51,24.31,33.71,23.35,31.53,25.8,33.4,41.03,29.05,,34.75,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Hungerford Park. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
