CASTLETOWN THE CLETT,,,,,,,,,,,,,,,,,,,,
Grid ref,ND196675,Long,-3.384671,Lat,58.588022,Elevation,73,ft,,,,,,,,,,,,
Station no,RR8928,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.21,1.86,3.6,2.75,3.89,2.61,3.71,4.52,1.81,2.59,1.91,3.26,,5.15,,,
February,,,,3.9,4.4,4.54,6.49,3.01,4.85,1.64,2.44,3.29,2.74,1.75,3.25,,2.42,,,
March,,,,2.05,1.93,3.77,2.31,2.5,2.98,1.96,1.68,2.19,4.1,3.66,3.63,,2.54,,,
April,,,,3.23,4.17,3.39,2.34,2.18,2.17,2.78,4.23,2.54,3.2,1.66,1.43,,2.46,,,
May,,,,1.46,1.39,1.88,3.31,1.32,2.69,1.95,1.98,1.54,2.85,2.22,2.82,,3.46,,,
June,,,,1.71,1.22,0.79,0.99,3.96,2.25,1.94,1.14,2.89,1.27,2,0.88,,3.73,,,
July,,,,4.63,1.04,2.75,2.28,1.19,1.47,2.33,2.51,2.58,2.68,1.81,4.15,,1.76,,,
August,,,,5.73,3.06,4.24,2.76,4.38,1.73,3.29,4.62,1.42,6.05,1.16,2.01,,1.45,,,
September,,,,2.72,3.23,3.11,2.43,0.68,5.42,2.47,1.19,3.26,1.43,2.44,3.16,,1.82,,,
October,,,,6.18,3.27,5.77,2.84,2.98,1.25,3.71,2.27,2.57,3.81,2.2,2.79,,3.99,,,
November,,,,5.27,3.78,5,5.97,2.08,3.91,7.84,7.48,4.16,5.39,4.52,5.19,,3.67,,,
December,,,,2.26,4.09,2.04,5.33,3.03,3.28,3.94,4.28,4.34,4.4,4.77,3.95,,5.43,,,
Total,,,,42.35,33.44,40.88,39.8,31.2,34.61,37.56,38.34,32.59,40.51,30.1,36.52,,37.88,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8928,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
