BEESTON-BRAMCOTE-DRIVE,,,,,,,,,,
Grid ref,SK523373,Long,-1.223397,Lat,52.930566,Elevation,149,ft,,
Station no,2602/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.55,1.9,1.06,1.54,2.66,3.14,1.56,2.95,3.89,5.34
February,3.01,0.69,1.72,2.22,1.82,0.67,2.46,3.97,0.2,2.34
March,4,2.92,1.25,1.74,2.67,0.9,2.46,1.91,1.44,1.67
April,1.84,1.54,2.27,0.33,1.12,1.83,0.26,0.97,3.1,1.22
May,3.1,3.7,1.96,2.54,3.46,0.51,1.09,2.33,0.51,1.26
June,1.67,2.54,4.17,3.44,4.12,3.49,1.58,4.84,0.99,2.43
July,0.79,0.82,2.1,2.03,0.7,2.91,3.23,4.57,1.6,3.97
August,5.68,3.13,2.48,4.6,0.71,5.62,4.53,4.13,1.07,3.77
September,1.79,1.5,1.67,2.81,0.72,2.12,6.47,2.57,0.09,4.3
October,0.89,2.73,2.25,3.03,1.8,1.49,1.3,2.54,2.56,
November,5.56,1.81,1.65,4.48,1.69,0.93,2.25,1.49,2.52,
December,1.73,2.47,0.87,2.53,2,2.6,2.13,3.12,3.42,
Total,32.61,25.75,23.45,31.29,23.47,26.21,29.32,35.39,21.39,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1957 Jun IDR,,,,,,,,,,
