UFFINGTON-SHERBORNE-COTTAGE,,,,,,,,,,
Grid ref,SU304894,Long,-1.5624612,Lat,51.602624,Elevation,287,ft.,,
Station no,815/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,1.13,2.47,1.93,,,,,,,
February,1.69,0.14,,,,,,,,
March,0.27,2.22,,,,,,,,
April,3.12,2.43,,,,,,,,
May,2.79,6.63,,,,,,,,
June,2,1.01,,,,,,,,
July,3.25,3.12,,,,,,,,
August,4.08,1.25,,,,,,,,
September,1.88,2.73,,,,,,,,
October,0.49,4.24,,,,,,,,
November,2.91,1.31,,,,,,,,
December,0.91,0.67,,,,,,,,
Total,24.52,28.22,,,,,,,,
,,,,,,,,,,
NGR is based on the relationship to the church.,,,,,,,,,,
Altitudes match. NGR could be +/- 100m,,,,,,,,,,
