MONKSTOWN DUBLIN EASTON LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,IO2280028670,Long,-6.15882,Lat,53.29433,Elevation,80,ft,,,,,,,,,,,,
Station no,RR4011,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,3.64,3.25,4.44,2.43,2.9,3.45,3.37,2.19,3.6,,,,
February,,,,,,,,2.16,1.47,1.18,2.78,2.24,3.49,0.75,3.22,2.52,,,,
March,,,,,,,,4.87,2.05,2.77,2.02,0.71,2.16,2.54,0.77,1.08,,,,
April,,,,,,,,1.89,1.69,1.07,0.54,2.67,2.97,0.61,1.11,0.86,,,,
May,,,,,,,,2.88,0.86,5.81,1.04,0.35,1.66,0.67,1.37,1.12,,,,
June,,,,,,,,0.45,0.82,0.76,0.59,2.28,2.6,0.48,0.82,,,,,
July,,,,,,,,2.4,0.73,0.4,0.59,5.63,0.98,3.86,2.38,,,,,
August,,,,,,,,0.64,4.62,0.99,1.52,1.13,3.83,3.35,4.37,,,,,
September,,,,,,,,1.74,2.9,4.35,1.49,3.41,2.37,2.07,1.59,,,,,
October,,,,,,,,2.18,0.84,1.07,6.54,2.21,3.56,2.76,2.75,,,,,
November,,,,,,,,0.41,2.82,2.17,1.42,1.1,4.31,1.85,3.73,,,,,
December,,,,,,,,1.84,6.38,3.04,2.6,0.91,6.2,0.7,3.76,,,,,
Total,,,,,,,,25.1,28.43,28.05,23.56,25.54,37.58,23.01,28.06,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_08_pt2-page-069.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_13_pt2-page-004.csv,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Greenwood Pim observer,,,,,,,,,,,,,,,,,,,,
