MONKSTOWN - 18 Trafalgar Place,,,,,,,,,,
Grid ref,IO2255628972,Long,-6.162374515,Lat,53.29709454,Elevation,56,ft,,
Station no,RR4011,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,3.65,2.34,3.23,2.75,,,
February,,,,0.45,1.06,2.54,2.23,,,
March,,,,2.22,3.8,1.58,,,,
April,,,,1.13,0.65,1.67,,,,
May,,,,0.89,1.92,3.84,,,,
June,,,,2.38,1.56,0.9,,,,
July,,,,0.94,-999,1.32,,,,
August,,,,3.24,-999,5.2,,,,
September,,,,3.09,-999,0.06,,,,
October,,,,6.32,-999,4.38,,,,
November,,,,2.12,4.44,4.3,,,,
December,,,,2.74,2.74,3.53,,,,
Total,,,,29.17,22.99,32.55,,,,
,,,,,,,,,,
"Home of observer, R Barrington.",,,,,,,,,,
TYRain_1860-1869_08_pt2-page-072.csv,,,,,,,,,,
1864 July-Oct bracketed therefore all -999,,,,,,,,,,
