MONKSTOWN EASTON LODGE - second gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,IO2280028670,Long,-6.15882,Lat,53.29433,Elevation,80,ft,,,,,,,,,,,,
Station no,RR4011,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,0.36,5.11,1.72,2.44,0.46,0.79,1.56,2.96,2.4,,,,,
February,,,,,,,3.46,1.28,1.63,3.17,2.66,2.36,1.94,5.11,5.39,,,,,
March,,,,,,,2.47,2.64,1.22,1.59,3.29,2.54,2.64,1.53,2.54,,,,,
April,,,,,,,2.05,5.08,1.63,2.04,1.77,1.22,3.62,2.24,1.49,,,,,
May,,,,,,1.2,0.65,2.09,5.02,1.87,0.65,1.64,1.79,1.81,1.14,,,,,
June,,,,,,2.29,1.42,0.96,3.6,5.13,3.7,2.3,2.58,2.33,1.24,,,,,
July,,,,,,2.49,0.9,3.21,0.55,3.51,7.12,2.05,3.87,3.44,1.82,,,,,
August,,,,,,1.46,2.51,4.78,6.22,3.22,1.96,5.71,2.3,3.05,0.68,,,,,
September,,,,,,3.61,3.39,2.01,1.69,1.79,2.9,1.31,2.35,3.92,1.08,,,,,
October,,,,,,7.64,5,2.11,1.9,1.11,7.12,3.24,2.71,2.27,0.66,,,,,
November,,,,,,3.98,5.04,2.37,0.96,1.3,3.16,2.73,3.47,3.3,1.73,,,,,
December,,,,,,1.37,8.5,2.33,1.53,1.02,3.15,1.69,3.63,1.13,1.43,,,,,
Total,,,,,,,35.75,33.97,27.67,28.19,37.94,27.58,32.46,33.09,21.6,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_13_pt2-page-003.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_17_pt1-page-132.csv,,,,,,,,,,,,,,,,,,,,
