MONKSTOWN - A Pim observer,,,,,,,,,,
Grid ref,IO2407327374,Long,-6.14025,Lat,53.28239,Elevation,140,ft,,
Station no,RR4011,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,1.97,1.87,1.86,,
February,,,,,,2.05,1.77,1.51,,
March,,,,,,1.14,2.82,2.77,,
April,,,,,,1.47,1.51,1.74,,
May,,,,,1.68,3.12,1.33,2.59,,
June,,,,,1.16,0.51,3.33,,,
July,,,,,0.62,2.76,0.81,,,
August,,,,,1.43,4.16,1.96,,,
September,,,,,1.6,0.05,1.91,,,
October,,,,,,3.53,2.16,,,
November,,,,,3.21,3.36,0.97,,,
December,,,,,2.19,2.54,1.07,,,
Total,,,,,,26.66,21.51,,,
,,,,,,,,,,
TYRain_1860-1869_08_pt2-page-067.csv,,,,,,,,,,
Greenbank House another main residence of thePim family and at about the right elevation on the record.,,,,,,,,,,
NGR for this used above. Nothing on record to suggest locationother than Monkstown.,,,,,,,,,,
