"STRACHAN (BRIDGE OF DYE)",,,,,,,,,,,,
Grid ref,NO652861,Long,-2.573933,Lat,56.964810,,,,,,,
Station no,5621,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.13,1.34,0.80,2.21,1.92,,,,,,,
February,5.65,1.20,1.01,4.69,3.10,,,,,,,
March,3.19,5.97,0.34,3.77,2.22,,,,,,,
April,3.72,1.67,4.46,1.32,0.43,,,,,,,
May,1.80,3.06,2.47,4.88,2.97,,,,,,,
June,1.80,3.17,3.01,1.55,1.53,,,,,,,
July,4.78,1.85,4.13,2.39,0.73,,,,,,,
August,5.03,4.43,1.80,3.78,0.66,,,,,,,
September,1.91,1.15,3.65,2.32,1.76,,,,,,,
October,1.07,5.33,1.92,5.80,4.51,,,,,,,
November,12.64,3.53,3.22,10.06,2.92,,,,,,,
December,3.39,4.34,4.07,3.73,,,,,,,,
Total,49.11,37.04,30.88,46.50,,,,,,,,
Calc annual,49.11,37.04,30.88,46.50,22.75,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
