GREY ABBEY - Lough House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ579679,Long,-5.560995,Lat,54.53496,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,6201/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.09,2.14,1.68,1.93,2.85,1.16,5.44,4.44,4.03,4.38,5.12,2.05,6.58,6.15,3.69,2.94,4.91,4.39,,,
February,,,,,,,,,,,0.79,1.7,0.12,2.91,0.15,2.79,3,4.9,1.58,2.96,2.72,3.51,2.13,1.33,0.89,2.8,2.33,1.67,,,
March,,,,,,,,,,,1.51,1.41,1.38,2.72,1.86,0.97,2.48,3.88,0.96,2.97,4.52,3.79,4.05,0.71,0.46,1.31,1.62,5.83,,,
April,,,,,,,,,,,1.3,2,2.91,1.62,2.76,2.06,1.01,2.63,0.18,1.79,3.78,1.99,1.99,1.93,2.12,2.06,0.91,3.43,,,
May,,,,,,,,,,,1.54,3.9,2.37,2.4,2.35,0.87,1.74,1.04,2.26,1.23,2.22,2,4.28,3.15,1.68,3.82,1.56,4.57,,,
June,,,,,,,,,,,1.73,4.04,1.59,1.76,1.2,3.73,3.74,2,3.36,1.59,1.35,0.41,0.39,3.41,2.24,4.62,2.68,3.62,,,
July,,,,,,,,,,,3.16,1.7,5.26,2.91,1.68,1.23,6.48,2.99,5.19,4.23,5.12,3.55,3.38,1.9,3.45,4.14,2.21,3.98,,,
August,,,,,,,,,,,4.54,3.54,2.25,2.11,4.1,1.9,2.95,2.39,2.29,2.55,0.98,4.56,5.25,5.91,3.7,0.27,4.33,0.32,,,
September,,,,,,,,,,,4.11,2.96,3,0.57,5,3.65,4.75,2.25,2.57,2.5,2.62,2.19,4.55,2.98,6.11,2.74,6.83,,,,
October,,,,,,,,,,,4.1,2.01,2.7,2.33,3.65,3.38,1.99,3.67,5.42,3.48,5.2,4.26,4.01,3.74,4.15,3.69,1.2,,,,
November,,,,,,,,,,,4.15,6.5,1.31,2.69,1.14,3.96,2.98,2.24,3.55,5.26,4.94,3.94,0.51,2.34,5.74,2.36,5.28,,,,
December,,,,,,,,,,,3.09,2.9,4.65,1.95,7.42,3.14,3.3,6.3,3.81,2.87,3.74,1.72,4.9,2.18,4.77,3.69,3.61,,,,
Total,,,,,,,,,,,34.11,34.8,29.22,25.9,34.16,28.84,39.86,38.73,35.2,35.81,42.31,33.97,42.02,35.73,39,34.44,37.47,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Dec 100s transcribed therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
