WELLINGTON-PAYTON-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST113208,Long,-3.26488,Lat,50.97982,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2063/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.27,6.03,2.34,,,7.73,2.6,2.64,3.56,3.94,7.72,0.99,0.79,4.11,,,,,,,,,
February,,,,,,,,1.06,1.59,2.78,,,1.46,0.38,1.39,3.76,1.57,2,1.62,6.52,4.73,,,,,,,,,
March,,,,,,,,0.15,1.25,2.78,,,1.16,0.21,0.52,1.19,6.42,1.51,1.31,1.44,4,,,,,,,,,
April,,,,,,,,0.09,2.99,4.17,,,0.75,2.22,1.09,3.39,2.78,2.49,1.69,2.3,2.53,,,,,,,,,
May,,,,,,,,2.33,0.74,1.97,,,2.99,1.26,5.03,4.92,3.5,3.59,2.26,1.85,3.25,,,,,,,,,
June,,,,,,,,1.5,2.36,0.8,,,1.93,2.48,3.07,3.27,1.91,2.02,0.56,1.5,1.22,,,,,,,,,
July,,,,,,,,3.12,4.87,,,,2.54,1.56,2.17,2.44,1.43,1.78,1.54,4.16,2.09,,,,,,,,,
August,,,,,,,,3.15,1.7,,,,3.25,2.7,2.33,5.46,0.99,4.35,1.89,5.17,4.8,,,,,,,,,
September,,,,,,,,1.61,1.39,,,,3.39,2.25,3.19,4.85,1.49,1.85,3.23,4.44,3.78,,,,,,,,,
October,,,,,,,,4.01,4.28,,,,3.64,4.92,3.92,1.58,0.54,3.71,7.27,1.32,1.41,,,,,,,,,
November,,,,,,,,5.25,7.49,,,,2.8,6.47,0.92,6.19,2.85,2.16,4.66,7.65,7.66,,,,,,,,,
December,,,,,,,,4.24,2.52,,,,3.99,4.56,6.47,4.38,3.18,5.85,2.23,3.19,,,,,,,,,,
Total,,,,,,,,30.78,37.21,,,,35.63,31.61,32.74,44.99,30.6,39.03,29.25,40.33,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moved from Stn No 2097/8 WOOTTON COURTNEY18 miles NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Records temporarily ceased because of adverse war conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 No change in site since records first started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Record ceased at end of Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
