"MIDDLESBOROUGH (ALBERT PARK)",,,,,,,,,,,,
Grid ref,NZ494191,Long,-1.237523,Lat,54.564725,,,,,,,
Station no,3487,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.69,1.62,0.78,2.41,1.93,2.69,1.38,1.58,2.57,3.88,,
February,1.85,0.47,1.71,1.28,1.63,1.80,1.76,2.84,0.57,1.71,,
March,3.13,1.20,0.13,1.37,1.18,0.48,0.83,2.27,0.49,1.20,,
April,1.60,1.59,1.40,0.16,0.90,0.83,0.25,1.48,1.50,0.58,,
May,4.29,1.05,1.62,2.33,2.00,0.36,1.04,2.47,0.54,0.77,,
June,1.58,1.04,2.35,2.61,2.46,3.45,2.17,3.01,1.64,0.47,,
July,1.89,1.29,2.73,1.65,1.15,2.37,3.69,2.23,1.97,4.91,,
August,5.73,1.79,3.54,4.55,0.81,6.62,2.04,3.02,0.17,2.93,,
September,0.84,4.66,1.27,1.46,1.22,1.43,2.64,2.68,1.03,2.28,,
October,1.34,2.21,1.50,3.83,1.49,1.00,1.69,1.24,1.26,5.31,,
November,3.56,3.37,1.31,3.39,1.77,0.98,1.65,0.79,3.96,2.83,,
December,3.26,1.85,0.86,1.69,2.12,1.42,1.24,2.46,2.48,2.91,,
Total,30.76,22.14,19.20,26.73,18.66,23.43,20.38,26.07,18.18,29.78,,
Calc annual,30.76,22.14,19.20,26.73,18.66,23.43,20.38,26.07,18.18,29.78,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
