SOMERTON BUTLEIGH COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST518339,Long,-2.6886,Lat,51.1026,Elevation,95,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.84,1.35,2.62,3.25,2.43,3.8,2.68,1.25,0.53,2.96,1.74,2.12,2.9,2.53,3.88,0.74,1.55,1.29,3.81,4.65,2.68,1.08,3.61,3.26,0.87,4.58,1.18,0.93,1.5,3.83,0.85,4.31,5.01,1.05,3.28,1.42,0.89,3.38,4.93,4.02,3.2,4.1,1.76,4.14,2.82,3.59,3.46,4.16,1.32,3.82,2.04,1.9,2.14,2.5,0.53,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,3.84,1.61,4.07,2.07,3.37,0.46,0.4,0.74,1.85,0.59,0,1.87,3.11,3.67,0.1,0.45,3.81,1.76,2.8,3.42,0.76,1.35,1.85,4.25,0.84,2.07,1.65,1.24,0.62,4.09,2.04,2.51,0.83,2.91,3.93,5.34,1.34,1.11,2.77,0.97,0.2,2.98,6.4,0.56,4.03,2.11,3.68,2.31,1.16,0.66,2.41,0.02,3.99,0.23,2.43,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.6,2.05,1.42,0.91,2.66,1.01,2.3,1.8,3.07,2.6,1.53,2.28,0.75,0.51,1.85,2.67,3.48,3.44,0.67,0.49,1.43,1.91,2.26,3.4,1.22,3.47,1.7,0.61,2.95,3.49,0.64,2.25,5.16,2.69,5.47,0.99,2.93,2.84,1.39,4.32,2.49,1.87,2.94,2.2,1.43,0.6,1.01,3.52,2.17,0.26,2.04,1.02,1.78,2.86,2.24,0.99,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.88,1.66,4.35,1.1,1.92,2.62,3.61,1.09,1.8,3.35,3.3,0.74,1.25,0.17,2.22,2.14,0.92,2.43,1.41,2.55,2.25,2.28,1.65,2.96,1.31,2.65,1.53,4.53,2.06,2.75,2.63,2.16,0.18,2.84,1.37,1.21,1.15,1.75,1.84,2.3,3.99,1.04,2.23,2.18,2.51,2.45,2.48,1.29,1.28,0.78,2.53,2.2,2.11,1.6,2.24,4.3,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.29,1.65,1.46,1.42,1.24,3.83,3.82,1.56,0.75,2.85,1.29,2.91,1.1,0.88,2.62,0.49,0.13,1.79,3.19,1.76,2.52,1.31,2.1,2.32,3.04,0.24,4.25,2.41,2.15,1.2,2.51,1.04,1.89,2.81,2,2.5,3.11,2.09,1.51,0.65,2.06,1.51,0.86,1.38,4.87,3.42,2.27,1.79,0.88,1.98,2.05,3.31,4.92,1.71,1.08,0.93,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.34,3.04,4.25,2.94,3.45,0.94,0.62,0.88,2.69,0.79,4.81,1.21,1.86,1.31,2.81,0.86,1.82,2.72,1.93,0.99,2.36,0.84,3.65,3.12,1,4,2.2,2.14,0.63,2.85,5.76,2.4,3.71,1.06,1.83,0.98,2.03,6.92,0.99,1.27,2.25,0.71,0.88,0.43,2.8,0.03,3.16,3.19,2.77,1.71,0.64,2.15,1.17,1.32,0.88,2.9,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,7.28,2.21,5.26,1.63,4.71,0.49,3.34,1.09,5.96,3.71,4.38,3.15,2.5,4.12,3.87,3.02,0.9,1.39,0.4,0.62,1.19,2.19,1.76,2.57,3.93,0.86,1.21,1.79,1.88,2.63,2.27,0.1,2.63,1.03,4.46,4.42,0.78,3.25,5.42,3.2,5.8,0.39,3.7,1.41,3.51,2.36,4.54,3.62,2.47,1.43,1.69,4.29,2.65,2.76,1.69,0.94,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.65,4.75,2.61,1.38,2.47,2.51,1.81,1.12,2.12,2.85,2.82,6.42,3.43,1.43,3.66,4.26,2.3,4.57,1.48,1.72,2.23,2.26,3.44,3.95,2.74,5.34,2.42,2.48,2.76,2.16,3.62,1.5,7.02,1.6,3.85,2.49,6.35,7.72,3.18,3.82,1.43,1.39,4.54,2.5,5.88,3.53,1.83,4.65,1.76,2.77,3.22,4.45,1.05,0.9,3.12,2.56,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,4.08,3.63,3.02,4.59,3.2,4.75,2.71,2.06,1.61,1.51,1.52,2.04,2.83,2.6,2.8,1.27,6.05,3.41,1.18,3,0.54,2.91,1.95,3,2.04,1.4,0.65,0.61,2.74,2.34,0.15,1.06,0.94,3.58,1.88,1.5,3.3,1.91,5.35,1.68,1.28,1.61,1.95,3.05,3.98,4,1.46,6.34,1.2,0.35,3.43,1.43,4.03,1.67,2.54,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,4.26,1.06,5.42,3.32,0.8,5.36,4.65,2.88,1.29,3.47,2.07,8.5,3.2,3.66,2.77,3.46,1.82,1.42,4.12,2.26,2.91,2.54,2.18,6.87,2.33,1.8,4.88,5.57,2.07,5.48,4.34,3.1,3.8,2.92,2.52,4.56,5.41,4.08,1.94,2.46,2.55,1.03,1.26,5.75,5.63,2.72,4.39,2.7,5.57,4.6,3.15,0.53,6.44,3,2.58,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
