COMPTON-BROOK-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU965466,Long,-0.61989477,Lat,51.210463,Elevation,180,ft.,,,,,,,,,,,,
Station no,192/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,5.19,5.97,2.88,5.13,3,2.51,2.74,5.87,1.83,1.71,,,,,
February,,,,,,1.87,4.4,0.44,1.44,2.37,2.6,0.51,1.64,0.73,2.45,,,,,
March,,,,,,1.7,3.75,0.27,1.3,3.29,3.48,1.98,0.54,0.18,0.94,,,,,
April,,,,,,2.22,2.34,0.14,2.94,2.12,1.58,1.73,1.06,0.92,1.18,,,,,
May,,,,,,0.73,2.69,1.12,2.34,1.16,2.16,4.06,2.66,0.48,1.63,,,,,
June,,,,,,3.05,1.66,0.57,1.16,0.89,1.83,0.26,1.54,1.59,2.97,,,,,
July,,,,,,4.41,0.85,2.09,2.8,3.01,2.29,2.14,1.55,1.42,5.55,,,,,
August,,,,,,1.29,1.24,1.78,2.48,0.14,5.1,3.33,1.28,1.53,1.45,,,,,
September,,,,,,2.33,2.49,1.71,0.56,1.79,0.19,1.66,1.78,2.43,2.54,,,,,
October,,,,,,1.61,3.11,2.41,5.29,3.93,1.16,3.59,2.59,4.81,2.8,,,,,
November,,,,,,3.19,1.72,4.12,4.81,7.96,4.06,1.74,1.56,4.73,0.35,,,,,
December,,,,,,2.97,4.24,3.8,1.22,1.53,1.93,3.38,1.71,2.77,3.92,,,,,
Total,,,,,,30.56,34.46,21.33,31.47,31.19,28.89,27.12,23.78,23.42,27.49,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1940s record and is near Brook House, close to the cottage, which is mentioned in the record. Altitudes match.",,,,,,,,,,,,,,,,,,,,
Gauge moved around the area several times but probably within 100m of stated NGR and 10 ft. of stated altitude,,,,,,,,,,,,,,,,,,,,
