CHARD-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST324081,Long,-2.96201,Lat,50.86844,Elevation,380,ft,,,,,,,,,,,,
Station no,RR8521,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.23,1.69,4.29,1.53,6.12,7.97,1.11,4.24,1.76,,,
February,,,,,,,,,2.63,0.57,5.3,1.98,4.32,1.48,5.91,8.1,7.7,,,
March,,,,,,,,,4.39,5.72,1.09,2.97,7.29,4.24,6.75,0.77,4.49,,,
April,,,,,,,,,2.47,3.08,2.63,3.06,0.18,4.82,1.74,1.35,0.91,,,
May,,,,,,,,,2.68,1.79,3.17,1.4,1.74,3.47,2.42,2.41,2.88,,,
June,,,,,,,,,0.26,3.5,2.98,2.38,6.12,0.81,2.24,1.27,,,,
July,,,,,,,,,1.91,3.43,3.98,0.26,3.4,0.6,6.74,6.22,,,,
August,,,,,,,,,4.16,2.55,5.33,1.24,8.13,1.52,4.77,2.67,,,,
September,,,,,,,,,2.93,3.06,0.68,1.49,1.4,2.96,2.54,1.37,,,,
October,,,,,,,,9.7,4.17,7.91,6.97,4.53,6.23,5.41,5.21,7.61,,,,
November,,,,,,,,4.12,1.77,0.88,5.56,5.31,2.19,4.28,4.84,3.17,,,,
December,,,,,,,,6.05,4.48,6.91,8.06,13.15,6.27,2.52,10.39,9,,,,
Total,,,,,,,,,33.08,41.09,50.04,39.3,53.39,40.08,54.66,48.18,,,,
