LUTON-WARDOWN-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL089231,Long,-0.418782,Lat,51.895819,Elevation,381,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.49,2.07,2.59,1.29,2.61,1.35,2.78,2.57,3.54,1.46,3.15,1.25,1.65,1.55,1.76,0.72,3.54,4.15,2.78,5.39,2.59,2.81,2.75,4.43,1.66,2.02,1.57,1.38,4.62,1.02,0.79,2.95,1.86,1.2,0.87,2.28,4.37,1.03,2.3,3.27,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,0.47,0.28,2.11,3.51,0.62,3.37,2.57,3.66,1.59,0.68,0.65,1.81,0.28,2.32,0.52,2.85,2.46,3.5,0.52,0.7,1.97,2.17,0.76,1.17,1.04,1.59,2.14,1.61,0.89,1.11,3.58,4.46,0.63,1.67,2.19,2.06,0.61,2.72,2.55,0.03,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.57,0.79,1.93,2.14,0.71,1.39,0.11,1.97,1.93,0.04,1.46,0.06,1.48,2.14,2.22,0.45,1.19,3.44,0.41,1.86,2.98,3.12,1.3,0.56,0.12,0.5,1.67,5.17,0.86,1.05,0.72,3.39,2.8,0.64,2.37,1.15,0.92,1.15,1.63,1.85,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,4.13,1.03,3.28,1.43,3.06,1.45,3.1,1.53,0.77,1.76,1.94,3.41,2.32,0.93,1.32,3.18,1.17,2.93,0.05,3.15,1.86,1.09,1.22,1.02,2.38,1.05,0.88,1.85,1.38,1.31,2.11,3.05,1.83,2.24,0.36,0.45,1.09,0.26,1.33,2.42,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.75,1.27,1.06,1.11,5.68,1.87,2.15,0.65,1.33,1.35,2.33,2.12,4.35,1.69,0.6,2.19,0.5,3.81,1.7,1.66,2.23,1.98,2.76,2.29,1.09,1.78,2.16,1.13,2.83,1.47,2.14,2.64,2.06,1.65,2.76,4.35,0.5,0.89,1.91,0.76,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.17,0.17,1.23,0.41,1.67,0.09,2.78,2.97,1.43,0.62,0.3,1.44,1.2,1.97,1.33,2.52,3.71,1.47,0.43,2.1,0.76,1.3,0.32,2.53,1.81,1.72,2.53,2.21,3.66,0.45,1.32,0.91,0.77,1.96,3.47,2.45,3.21,1.09,4.21,1.09,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.41,0.15,3.81,3.48,4,3.81,2.41,2.3,2.39,1.11,1.86,5.43,2.97,0.94,1.11,1.26,5.02,0.97,1.56,1.93,2.63,3.09,2.4,1.21,1.26,1.91,1.66,1.99,0.98,2.01,4.62,1.66,0.48,2.56,3.06,0.12,2.73,3.65,2.08,3.84,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,0.98,0.87,2.58,2.65,1.72,2.34,0.86,3.81,2.1,0.31,2.28,3.73,3.36,0.57,1.96,1.67,0.23,1.72,4.86,5.21,0.02,3.95,3.48,1.37,1.96,1.88,3.51,0.01,2.68,1.85,2.8,3.81,3.06,1.88,3.78,0.71,4.29,1.95,2.15,1.11,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2.35,1.49,2.12,2.07,2.93,2.51,1.81,4.46,0.58,0.12,3.68,2.07,1.88,2.27,1.35,3.51,2.98,1.85,1.69,1.44,0.67,0.64,1.08,1.31,2.22,2.03,3.39,1.13,2.25,0.25,2.91,2.58,3.27,1.69,1.63,1.33,2.41,2.61,3.73,0.11,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.44,0.67,0.67,3.95,3.84,3.66,2.39,1.55,3.87,3.86,0.84,0.49,4.16,1.47,1.8,2.51,1.59,2.69,2.79,4.13,2.97,1.28,3.44,2.43,3.24,2.56,1.56,0.19,2.44,4.52,0.42,1.09,2.86,2.36,1.74,2.36,1.74,2.61,2.41,1.74,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
