BEAUFORT CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 508 431,Long,-4.488167,Lat,57.453513,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,2.03,1.63,2.33,9.81,,3.51,3.99,4.12,7.68,4.3,1.61,1.23,4.57,3.44,,,,,2.78,,1.46,,,,,,,,,
February,2.25,1.48,0.93,4.01,,1.41,4.64,3.75,6.36,3.24,0.62,2.56,1.53,0.94,,,,,1.84,,1.62,,,,,,,,,
March,4.64,5.15,2.23,0.9,,2,1.22,1.34,3.41,2.15,0.22,2.88,1.2,1.47,,,,,3.05,,1.96,,,,,,,,,
April,1.24,0.79,1.22,3.42,,1.06,1.7,3.15,3.11,1.75,1.81,2.29,1.09,1.05,,,,,0.92,,1.63,,,,,,,,,
May,0.92,0.39,2.8,1.38,,1.4,1.46,2.53,1.12,1.3,1.06,0.78,3.38,2.25,,,,,2.13,,0.81,,,,,,,,,
June,3.19,3.92,3.6,1.44,,0.51,0.74,3.32,1.49,0.76,1.44,1.2,5.17,2.31,,,,,1.8,,2.63,,,,,,,,,
July,1.85,2.82,2.68,0.23,,4.79,1.62,4.55,0.29,1.19,1.72,3.92,4.2,4.62,,,,,0.95,,4.79,,,,,,,,,
August,3.08,3.54,2.46,3.55,,2.05,2.86,2.37,6.92,0.97,2.58,1.31,3.31,5.93,,,,,3.64,,0.95,,,,,,,,,
September,1.2,4.14,1.37,5.64,,0.46,4.08,1.8,3.41,4.28,2.85,2.49,5.91,6.94,,,,,4.86,,1.43,,,,,,,,,
October,4.67,1.01,3.91,3.13,,3.37,2.36,3.07,4.22,4.14,2.5,1.95,5.34,4.49,,,,,4.42,,2.58,,,,,,,,,
November,1.41,7.87,2.39,3.51,,2.36,3.72,0.86,2.43,4.5,1.32,1.73,5.09,5.62,,,,,3.75,,3.75,,,,,,,,,
December,0.96,2.17,4.15,5.74,,3.17,4.96,2.66,3.15,2.95,2.68,4.54,2.73,6.62,,,,,1.62,,2.84,,,,,,,,,
Total,27.44,34.91,30.07,42.76,,26.09,33.35,33.52,43.59,31.53,20.41,26.88,43.52,45.68,,,,,31.76,,26.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Low Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
