DOULTING-VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST645431,Long,-2.50866,Lat,51.18636,Elevation,693,ft,,,,,,,,,,,,,
Station no,2015,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.51,5.13,3.55,5.34,4.36,7.77,1.97,5.32,2.89,3.78,2.64,3.16,0.86,4.93,,,,
February,,,,7.5,0.56,4.81,2.88,5.16,3.83,1.35,1.06,3.1,0.13,4.49,0.26,3.66,2.8,,,,
March,,,,2.06,1.97,0.64,0.9,4.13,3.17,0.39,2.16,1.14,2.18,3.96,3.03,1.3,3.87,,,,
April,,,,2.86,3.51,3.19,3.73,2.2,1.72,1.25,2.71,2.79,4,2.04,2.63,5.56,2.84,,,,
May,,,,1.93,6.86,4.52,3.93,1.68,1.66,2.6,2.61,3.91,6.09,2.38,1.47,1.18,,,,,
June,,,,0.78,2.95,0.01,3.4,4.29,3.56,1.92,0.58,2.88,1.56,2.31,1.91,4.44,,,,,
July,,,,2.24,4.68,4.84,3.66,5.8,1.76,2.54,3.24,5.34,4.99,4,2.13,0.69,,,,,
August,,,,5.77,5.85,4,3.32,4.79,4,3.43,4.9,6.03,2.06,1.67,4.37,2.01,,,,,
September,,,,3.64,3.88,5.37,2.12,7.31,1.45,0.35,4.31,2.23,4.42,2.32,3.38,5.81,,,,,
October,,,,6.33,6.92,3.99,4.45,3.13,6.67,6.6,3.83,1.08,7.2,3.51,3.37,5.12,,,,,
November,,,,3.17,3.81,2.99,7.61,5.06,4.82,8.52,5.89,4.68,3.37,0.74,1.67,7.46,,,,,
December,,,,4.19,5.26,4.63,0.61,3.69,3.49,6.46,4.19,1.55,1.94,0.92,9,4.69,,,,,
Total,,,,42.98,51.38,42.54,41.95,51.6,43.9,37.38,40.8,37.62,41.72,30.98,36.38,42.78,,,,,
,,,,,,,,,,,,,,,,,,,,,
1936 Observer died,,,,,,,,,,,,,,,,,,,,,
