ALPERTON-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ177828,Long,-0.30455028,Lat,51.531849,Elevation,80,ft.,,,,,,,,,,,,,
Station no,851,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.48,1.82,2.92,2.05,4.06,1.08,2.74,1.41,2.04,2.03,1.7,1.03,4.81,3.59,,,
February,,,,,0.49,3.31,2.69,3.38,1.74,0.43,0.65,1.8,0.22,2.79,0.37,2.61,1.82,4.18,,,
March,,,,,0.86,0.58,0.55,2.36,1.37,0.02,1.33,0.28,1.45,2.8,2.52,0.49,1.32,2.77,,,
April,,,,,2.56,1.66,3.33,1.92,1.41,0.94,1.99,3.49,2.3,0.78,1.98,3.27,1.43,,,,
May,,,,,2.83,2.59,2,1.07,2.29,1.74,2.46,2.44,4.24,1.75,0.56,1.03,0.55,,,,
June,,,,,3.18,0.15,3.26,2.89,2.77,1.28,2.22,1.21,0.26,2.52,1.39,4.03,3.91,,,,
July,,,,,3.63,3.93,2,2.62,2.18,2.67,1.92,3.09,3.18,0.99,2.34,1.14,3.14,,,,
August,,,,,3.03,2.68,1.38,4.76,2.29,1.68,3.18,5.63,1.41,0.86,2.58,1.98,0.46,,,,
September,,,,,2.22,2.7,1.52,4.57,0.98,0.31,3.03,2.5,2.09,2.85,1.47,4,2.79,,,,
October,,,,,4.14,3.06,2.27,1.66,3.93,2.83,1.16,0.57,5.5,1.63,1.32,2.61,1.79,,,,
November,,,,,2.23,1.69,5.38,2.82,2.25,5.48,4.18,2.5,1.61,1.33,2.04,4.47,2.96,,,,
December,,,,,3.69,2.47,0.35,2.94,2.48,5.41,2.26,0.89,0.62,0.47,5.47,3.03,1.61,,,,
Total,25.77,15.52,24.76,26.25,31.34,26.64,27.65,33.04,27.75,23.87,27.12,25.81,24.92,20.8,23.74,29.69,26.59,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is a sewage works, which nearly matches the move to the King Edward VII Park. Altitudes match.",,,,,,,,,,,,,,,,,,,,,
Relationships to church and station do not match even if they refer to the relationship of the gauge to them.,,,,,,,,,,,,,,,,,,,,,
"There is a sewage works at TQ201847, which matches the relationships better but is in Willesden not Wembley; the observer is Wembley Urban District Council.",,,,,,,,,,,,,,,,,,,,,
