BACUP (L.M.S.R.) NO.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD869224,Long,-2.199886,Lat,53.697872,Elevation,875,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.45,8.83,6.88,6.71,5.09,4.43,2.37,6.74,4.95,6.83,7.13,2.27,1.88,7.88,8.15,7.45,4.68,6.84,4.86,13.2,2.29,3.24,5.56,5.95,,3.74,,,,,,
February,,,,,,,,,,1.35,0.79,5.53,0.33,3.04,0.5,7.34,2.55,6.72,2.56,6.57,2.62,6.46,2.68,4.67,2.39,6.43,6.75,1.44,4.16,4.23,7.48,4.14,1.35,,4.09,,,,,,
March,,,,,,,,,,0.07,3.47,0.76,3.56,0.9,3.57,1.66,3.3,3.44,1.71,3.99,3.54,4.98,4.08,1.37,0.7,1.59,1.6,7.58,2.3,2.19,3.44,5.08,3.14,2.43,3.45,,,,,,
April,,,,,,,,,,1.02,3.17,4.55,4.91,2.17,3.22,3.76,1.43,4.05,0.65,2.94,3.59,2.87,3.23,3.22,4.54,3.08,1.45,5.96,2.52,4.63,4.27,3.4,4.65,3.85,1.45,,,,,,
May,,,,,,,,,,3.24,1.68,2.75,4.25,4.1,4.78,1.78,1.39,2.34,5.21,1.88,1.22,3.06,4.65,3.68,3.47,4.78,1.41,1.9,2.09,3.79,2.19,2.31,2.17,2.42,3.1,,,,,,
June,,,,,,,,,,1.72,1.57,6.51,1.22,1.6,3.38,4.34,4.26,2.42,5.9,4.39,0.92,0.77,0.99,4.05,3.6,6.51,4.57,3.41,6.45,0.66,3.11,1.65,4.61,4.33,2.98,,,,,,
July,,,,,,,,,,1.3,7.02,5.87,4.52,2.5,2.63,2.01,5.5,2.53,5.25,8.37,5.53,2.66,5.77,3.46,4.42,3.07,4.38,4.15,3.02,2.29,4.66,4.07,1.86,5.94,4.67,,,,,,
August,,,,,,,,,,3.22,8.89,6.65,1.36,1.99,5.32,2.41,3.17,3.84,5.71,3.18,2.62,8.32,6.06,7.55,3.49,5.08,7.81,0.29,6.49,3.57,8.4,5.38,4.99,5.35,6.35,,,,,,
September,,,,,,,,,,1.18,5.85,3.69,5.43,2.56,4.62,10.64,5.93,2.03,2.3,1.73,4.93,1.06,3.11,5.44,7.34,3.6,8.73,3.78,3.9,1.32,8.92,4.01,4.25,4.15,5.27,,,,,,
October,,,,,,,,,,4.21,8.64,2.9,8.43,5.15,6.15,9.89,5.84,2.52,13.5,2.03,5.97,5.27,6.71,3.81,6.4,7.64,1.24,1.06,3.25,7.41,3.49,1.16,5.47,2.7,,,,,,,
November,,,,,,,,,,12.18,9.67,12.37,4.26,3.04,1.88,6.79,6.75,2.22,8.83,8.11,10.39,3.85,1.49,4.21,8.83,0.53,10.27,7.2,2.38,7.4,6.41,9.61,2.52,,,,,,,,
December,,,,,,,,,,9.74,5,2.33,4.42,0.79,8.14,4.95,5.47,3.49,6.21,4.2,5.69,2.63,4.67,3.36,5.85,4.04,5.72,4.13,6.09,8.17,3.43,9.81,4.54,2.08,,,,,,,
Total,,,,,,,,,,40.68,64.58,60.79,49.4,32.93,48.62,57.94,52.33,40.55,64.66,54.52,49.29,43.81,51.32,52.97,58.48,51.03,60.77,45.76,55.85,47.95,59.04,56.18,45.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1953 Jan 1.75, Feb 2.3, Nov4.78 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11983,BACUP ,01/01/1929,31/12/1954,SD8699622381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
