GUILDFORD-WOOD-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU952510,Long,-0.63731,Lat,51.25069,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,207/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.83,4.78,5.61,2.87,5.11,2.65,2.75,3.28,5.9,1.81,1.83,2.42,2.28,4.95,0.96,0.87,3.44,,,,,,,,,
February,,,,,3.55,2.1,3.94,0.52,1.79,2.7,2.64,0.73,1.73,0.87,2.16,3.06,1.57,1.24,1.21,4.44,6.58,,,,,,,,,
March,,,,,0.46,1.59,3.96,0.15,1.34,3.46,3.68,2.12,0.51,0.21,0.47,1.23,4.76,0.85,1.03,1.12,5.05,,,,,,,,,
April,,,,,3.3,2.12,2.19,0.14,2.71,1.92,1.36,1.5,1.29,1.08,1.31,2.15,1.96,1.59,1.86,2.86,,,,,,,,,,
May,,,,,1.74,0.61,2.36,1.27,1.85,1.14,2.34,3.33,2.83,0.5,1.55,3.21,1.38,2.25,2.24,1.68,,,,,,,,,,
June,,,,,4.27,4.71,1.5,0.65,2.25,1.2,1.92,0.2,1.47,2.34,3.03,2.65,2.4,2.41,0.78,0.93,,,,,,,,,,
July,,,,2.54,2.26,4.1,0.61,1.91,2.71,2.71,2.7,1.54,1.53,1.74,5.2,1.85,1.95,1.29,0.67,4.3,,,,,,,,,,
August,,,,2.24,3.65,1.89,1.5,1.2,3.59,0.17,5.34,2.95,1.62,1.89,1.14,4.08,0.57,4,0.95,3.9,,,,,,,,,,
September,,,,1.62,4.09,2.31,2.09,1.44,0.77,1.62,0.13,1.55,2,2.38,2.73,3.34,1.19,1.52,1.02,3.54,,,,,,,,,,
October,,,,1.72,3.92,2.2,3.45,3.07,5.14,3.41,1.26,4.08,2.96,3.84,2.87,1.17,0.41,2.43,6.69,0.65,,,,,,,,,,
November,,,,2.82,5.56,2.85,1.84,4.62,5.03,7.5,3.5,1.88,1.61,4.42,0.31,5.22,1.11,1.9,2.77,6.08,,,,,,,,,,
December,,,,6.78,3.07,2.58,4.78,3.58,1.35,1.54,1.95,3.35,1.8,2.52,4.25,3.3,3.31,3.42,1.58,2.66,,,,,,,,,,
Total,,,,,36.7,31.84,33.83,21.42,33.64,30.02,29.57,26.51,25.25,23.6,26.85,33.68,22.89,27.85,21.76,33.03,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemarie Frog Grove Lane Wood Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Not printed High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Apr Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 July Observer died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
