"CHESTERFORD PARK",,,,,,,,,,,,
Grid ref,TL536422,Long,0.238920,Lat,52.056896,,,,,,,
Station no,RR4031,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.12,1.45,2.11,,
February,,,,,,,,2.42,0.11,1.39,,
March,,,,,,,,0.76,1.43,1.28,,
April,,,,,,,0.13,1.18,1.55,0.39,,
May,,,,,,,0.81,2.68,0.45,0.92,,
June,,,,,,,2.47,5.65,0.56,1.34,,
July,,,,,,,2.56,3.34,5.99,2.45,,
August,,,,,,,2.09,2.48,1.07,2.68,,
September,,,,,,,2.73,2.83,0.08,3.37,,
October,,,,,,,1.74,2.03,2.12,4.52,,
November,,,,,,,1.87,1.75,1.93,2.59,,
December,,,,,,,1.57,3.00,4.02,3.05,,
Total,,,,,,,,30.24,20.76,26.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,15.97,30.24,20.76,26.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
