RAYNES-PARK-RICHMOND-ROAD,,,,,,,,,,,,,,,,,,,
Grid ref,TQ227695,Long,-0.23686,Lat,51.41125,Elevation,70,ft,,,,,,,,,,,
Station no,159,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938
January,,,,,,,,2.09,3.28,1.05,2.93,1.54,1.86,1.36,1.65,1.2,4.1,4.12,2.48
February,,,,,,,,3.92,1.44,0.41,0.72,1.76,0.3,3.02,0.35,2.9,1.95,4.14,0.48
March,,,,,,,,3.17,1.79,0.04,1.85,0.27,1.49,2.47,2.2,0.31,1.11,3.08,0.41
April,,,,,,,,1.93,1.76,1.14,1.54,4.12,2.36,0.65,2.13,3.3,1.75,2.18,0.12
May,,,,,,,,1.45,2.52,1.49,3.47,2.92,4.47,2.44,0.49,1.18,0.53,2.48,1.41
June,,,,,,,,4.47,2.56,1.04,0.77,2.03,0.83,1.74,1.22,4.25,3.14,1.89,0.56
July,,,,,,,,2.01,2.42,1.32,2.01,3.22,2.36,1.44,2.15,1.9,2.62,0.69,1.41
August,,,,,,,,4.07,2.32,2.42,3.1,6.17,1.28,0.66,2.24,2.56,0.78,2.42,2.96
September,,,,,,,,4.56,0.97,0.16,3.47,2.93,2.19,3.51,1.29,2.83,2.25,1.96,
October,,,,,,,,1.11,4.4,2.76,1.23,0.8,5.26,1.6,1.14,2.95,2.03,2.72,
November,,,,,,,,2.92,1.82,5.78,4.16,2.45,1.26,0.98,2.21,4.6,3.24,1.42,
December,,,,,,,,3.77,2.49,5.2,1.86,0.67,0.47,0.41,4.49,2.61,2.28,4.43,
Total,,,,,,,,35.47,27.77,22.81,27.11,28.88,24.13,20.28,21.56,30.59,25.78,31.53,
,,,,,,,,,,,,,,,,,,,
Gauge from Llandrindod Wells ,,,,,,,,,,,,,,,,,,,
68 Richmond Road,,,,,,,,,,,,,,,,,,,
1930 Gauge read 10am winter and summer,,,,,,,,,,,,,,,,,,,
1938 Gauge moved 50ft SE,,,,,,,,,,,,,,,,,,,
1938 Sept 29 Gauge moved 1.25 miles NE,,,,,,,,,,,,,,,,,,,
