RAYNES-PARK-RICHMOND-ROAD-(DENMARK-AVENUE),,,,,,,,,,,,,
Grid ref,TQ242703,Long,-0.21475,Lat,51.41827,Elevation,70,ft,,,,,
Station no,159,,,,,,,,,,,,
,,,,,,,,,,,,,
,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.09,2.38,2.45,,,,,,,,,
February,,1.22,1.68,1.94,,,,,,,,,
March,,1.18,3.3,3.35,,,,,,,,,
April,,2.61,1.87,1.47,,,,,,,,,
May,,1.69,1.23,1.62,,,,,,,,,
June,,0.92,1.56,2.34,,,,,,,,,
July,,3.34,3.3,4.31,,,,,,,,,
August,,2.7,0.2,4.57,,,,,,,,,
September,,1.7,1.67,0.4,,,,,,,,,
October,2.5,5.83,2.62,0.95,,,,,,,,,
November,4.07,4.36,7.29,2.66,,,,,,,,,
December,3.18,1.19,1.31,2.08,,,,,,,,,
Total,,30.83,28.41,28.14,,,,,,,,,
,,,,,,,,,,,,,
21 Denmark Avenue,,,,,,,,,,,,,
1938 Sept 29 Gauge moved 1.25 miles NE from Richmond Rd,,,,,,,,,,,,,
1942 Station terminated Observer moved,,,,,,,,,,,,,
