BLAKESWARE,,,,,,,,,,,,
Grid ref,TL402159,Long,0.032902,Lat,51.824138,,,,,,,
Station no,958/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.85,1.89,,,,,,,,,,
February,4.77,,,,,,,,,,,
March,3.39,,,,,,,,,,,
April,2.93,,,,,,,,,,,
May,2.14,,,,,,,,,,,
June,1.33,,,,,,,,,,,
July,1.03,,,,,,,,,,,
August,4.06,,,,,,,,,,,
September,4.08,,,,,,,,,,,
October,0.74,,,,,,,,,,,
November,4.09,,,,,,,,,,,
December,1.82,,,,,,,,,,,
Total,33.23,,,,,,,,,,,
Calc annual,33.23,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
