WHALSAY (SALTNESS),,,,,,,,,,,,
Grid ref,HU542626,Long,-1.019901,Lat,60.343817,,,,,,,
Station no,5833/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.71,4.34,2.89,2.55,5.03,4.89,6.10,2.73,2.21,,
February,,2.24,2.46,3.71,2.53,1.00,3.90,1.99,2.00,4.56,,
March,,6.79,2.63,2.22,1.65,1.66,3.79,1.40,1.22,0.90,,
April,,1.57,2.03,1.88,2.49,2.33,1.82,1.47,2.88,3.24,,
May,,2.80,1.44,0.96,2.28,2.37,2.41,3.12,1.07,1.45,,
June,,2.54,0.63,3.68,1.32,2.30,2.14,0.32,2.54,2.13,,
July,,1.64,3.75,2.50,0.53,3.84,3.00,3.47,2.40,1.17,,
August,,3.78,3.73,2.77,0.78,2.24,3.13,3.07,1.81,1.45,,
September,,2.95,3.55,4.77,3.31,2.29,4.16,3.94,0.87,2.73,,
October,,3.39,2.93,5.58,5.01,4.23,6.15,4.44,3.56,2.23,,
November,,2.72,6.01,5.14,2.43,3.11,3.91,-999.00,4.89,5.08,,
December,,4.38,3.86,5.45,4.69,4.12,4.63,4.08,6.34,4.63,,
Total,,39.51,37.36,41.55,29.57,34.52,43.93,36.23,32.31,31.78,,
Calc annual,0.00,39.51,37.36,41.55,29.57,34.52,43.93,33.40,32.31,31.78,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,2.83,0.00,0.00,,
