WHALSAY (SALTNESS),,,,,,,,,,
Grid ref,HU 54864 62161,Long,-1.007991,Lat,60.339784,Elevation,250,ft,,
Station no,5833/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.71,4.34,2.89,2.55,5.03,4.89,,,
February,,2.24,2.46,3.71,2.53,1,3.9,,,
March,,6.79,2.63,2.22,1.65,1.66,3.79,,,
April,,1.57,2.03,1.88,2.49,2.33,1.82,,,
May,,2.8,1.44,0.96,2.28,2.37,2.41,,,
June,,2.54,0.63,3.68,1.32,2.3,,,,
July,,1.64,3.75,2.5,0.53,3.84,,,,
August,,3.78,3.73,2.77,0.78,2.24,,,,
September,,2.95,3.55,4.77,3.31,2.29,,,,
October,,3.39,2.93,5.58,5.01,4.23,,,,
November,,2.72,6.01,5.14,2.43,3.11,,,,
December,,4.38,3.86,5.45,4.69,4.12,,,,
Total,,39.51,37.36,41.55,29.57,34.52,,,,
,,,,,,,,,,
Gauge Move June 1957,,,,,,,,,,
Original Location undocumented,,,,,,,,,,
Approx,,,,,,,,,,
BR 1957 NP,,,,,,,,,,
,,,,,,,,,,
Station no,5833/2,,,,,,,,,
Midas,14383,,,,,,,,,
Hyd Stn,761845,,,,,,,,,
