MONYMUSK THE MANSE,,,,,,,,,,,,
Grid ref,NJ685152,Long,-2.523337,Lat,57.226444,,,,,,,
Station no,RR8564,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.72,1.17,3.10,1.59,0.73,1.97,2.38,1.74,1.46,,
February,,2.98,0.98,2.76,3.92,1.84,2.32,1.60,1.62,1.18,,
March,,2.80,1.47,1.34,2.03,3.21,2.75,1.22,4.21,6.35,,
April,,2.29,3.08,2.71,2.11,3.04,2.01,1.83,3.12,2.92,,
May,1.15,2.55,4.52,2.42,3.32,1.61,5.87,3.54,1.51,3.34,,
June,1.95,2.59,1.90,1.61,1.05,0.54,0.52,4.72,1.55,1.52,,
July,5.34,2.53,5.25,5.87,1.69,4.07,1.40,1.92,2.48,4.19,,
August,3.77,2.57,3.24,3.79,2.98,4.80,2.65,3.09,,2.59,,
September,2.41,1.57,1.51,2.67,2.15,2.19,0.91,1.10,-999.00,2.13,,
October,3.10,2.33,1.84,5.12,1.26,4.80,5.40,4.80,2.33,2.90,,
November,4.02,2.37,3.73,3.03,2.19,8.29,5.55,2.02,1.41,2.13,,
December,2.86,3.58,4.57,3.24,2.50,0.60,4.09,3.17,2.85,3.11,,
Total,,30.88,33.26,37.66,26.79,35.72,35.44,31.39,28.22,33.82,,
Calc annual,24.60,30.88,33.26,37.66,26.79,35.72,35.44,31.39,22.82,33.82,,
Difference,NaN,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,5.40,0.00,,
