MONYMUSK THE MANSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ685152,Long,-2.523337,Lat,57.226444,Elevation,280,ft,,,,,,,,,,,,
Station no,RR8564,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,2.72,1.17,3.1,1.59,0.73,1.97,2.38,1.74,1.46,1.74,1.42,,,,,,,,
February,,2.98,0.98,2.76,3.92,1.84,2.32,1.6,1.62,1.18,2.46,1.34,,,,,,,,
March,,2.8,1.47,1.34,2.03,3.21,2.75,1.22,4.21,6.35,1.57,,,,,,,,,
April,,2.29,3.08,2.71,2.11,3.04,2.01,1.83,3.12,2.92,3.6,,,,,,,,,
May,1.15,2.55,4.52,2.42,3.32,1.61,5.87,3.54,1.51,3.34,2.85,,,,,,,,,
June,1.95,2.59,1.9,1.61,1.05,0.54,0.52,4.72,1.55,1.52,0.76,,,,,,,,,
July,5.34,2.53,5.25,5.87,1.69,4.07,1.4,1.92,2.48,4.19,4.23,,,,,,,,,
August,3.77,2.57,3.24,3.79,2.98,4.8,2.65,3.09,,2.59,4.04,,,,,,,,,
September,2.41,1.57,1.51,2.67,2.15,2.19,0.91,1.1,,2.13,0.96,,,,,,,,,
October,3.1,2.33,1.84,5.12,1.26,4.8,5.4,4.8,2.33,2.9,2.89,,,,,,,,,
November,4.02,2.37,3.73,3.03,2.19,8.29,5.55,2.02,1.41,2.13,6.65,,,,,,,,,
December,2.86,3.58,4.57,3.24,2.5,0.6,4.09,3.17,2.85,3.11,4.49,,,,,,,,,
Total,,30.88,33.26,37.66,26.79,35.72,35.44,31.39,,33.82,36.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1908 Au Sep + T Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8564,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
