"GLENLIVET (CLASHNOIR) +A",,,,,,,,,,,,
Grid ref,NJ223222,Long,-3.290533,Lat,57.283790,,,,,,,
Station no,5760/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.50,2.41,0.94,1.86,1.80,2.86,2.71,3.90,3.26,3.30,,
February,4.95,0.98,1.17,1.91,6.30,2.79,1.97,4.28,0.46,2.29,,
March,2.55,1.98,0.29,2.49,1.77,2.60,2.87,2.31,1.14,1.05,,
April,4.44,1.68,2.33,1.25,1.05,2.10,1.81,1.91,2.45,1.99,,
May,1.56,2.40,2.17,6.31,4.21,0.93,2.39,3.59,1.39,0.81,,
June,3.75,2.88,6.53,3.35,1.56,3.31,3.42,2.24,2.69,2.11,,
July,3.67,3.08,7.04,3.78,0.70,5.99,6.97,6.01,2.50,2.78,,
August,4.90,3.77,1.85,3.65,2.31,7.33,5.31,4.06,1.37,7.10,,
September,1.03,3.38,2.68,2.77,2.22,3.39,2.18,1.64,0.57,2.35,,
October,1.38,4.36,1.63,5.02,5.37,4.09,1.72,2.15,4.73,7.42,,
November,10.15,4.17,2.51,5.49,1.54,1.53,3.72,1.19,6.00,3.12,,
December,1.73,3.18,3.20,5.47,6.17,4.68,4.37,3.78,4.93,1.28,,
Total,42.61,34.27,32.34,43.35,35.00,41.60,39.44,37.06,31.49,35.60,,
Calc annual,42.61,34.27,32.34,43.35,35.00,41.60,39.44,37.06,31.49,35.60,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
