"GOLSPIE H.R.S",,,,,,,,,,,,
Grid ref,NH825997,Long,-3.988035,Lat,57.971002,,,,,,,
Station no,RR61,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.15,1.95,2.80,,,,,,,,,
February,1.37,4.36,0.80,,,,,,,,,
March,1.35,2.07,2.31,,,,,,,,,
April,3.24,1.80,1.75,,,,,,,,,
May,1.42,2.33,2.95,,,,,,,,,
June,2.28,3.28,2.21,,,,,,,,,
July,5.82,2.35,2.99,,,,,,,,,
August,3.56,2.81,1.22,,,,,,,,,
September,2.62,1.51,1.75,,,,,,,,,
October,3.63,3.42,,,,,,,,,,
November,4.24,2.79,,,,,,,,,,
December,5.53,4.69,,,,,,,,,,
Total,37.21,33.36,,,,,,,,,,
Calc annual,37.21,33.36,18.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
