GOLSPIE RAILWAY STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH825997,Long,-3.988035,Lat,57.971002,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.51,2.01,3.74,4.35,1.28,4.94,2.76,0.23,1.96,1.53,3.37,2.03,5.35,1.58,5.13,3.23,2.16,0.59,3.71,2.95,5.35,3.03,3.31,3.77,3.27,0.66,0.91,1.82,2.15,1.95,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.76,1.12,0.74,1.75,4.45,5.38,1.29,0.95,1.38,0.15,2.92,2.46,1.23,2.41,1.38,1.52,2.1,6.1,1.33,2.97,3.04,2.48,4.64,0.72,1.55,1.68,2.22,0.62,1.37,4.36,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.25,1.35,2.29,0.7,5.4,3.45,4.1,2.28,1.68,1.59,4.69,1.59,2.34,2.22,1.49,1.18,3.54,1.86,4.89,3.88,1.08,1.63,1.97,1.78,3.46,3.26,1.52,1.79,1.35,2.07,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2.42,2.28,1.76,2.33,2.85,1.96,0.4,2.06,2.1,1.46,3.13,1.23,0.46,1.35,1.04,2.36,2.21,2.96,1.88,0.66,1.93,2.14,0.34,1.01,2.52,0.62,2.05,3.59,3.24,1.8,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.61,2.5,2.07,1.58,0.89,2.14,3.21,2.57,1.15,2.52,2.45,1.88,3,3.33,2.89,0.97,2.53,0.65,1.19,3.03,2.94,1.04,3.54,1.01,1.63,2.57,2.89,1.96,1.42,2.33,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,5.38,1.72,1.76,2,1.93,3.87,2.22,3.12,1.92,2.5,3.38,1.46,0.92,2.16,2.33,0.66,2.3,0.89,3.23,1.2,1.68,1.19,1.61,2.89,3.41,2,2.32,1.82,2.28,3.28,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.66,4.05,1.7,2.65,1.93,3.24,1.55,4.52,4.61,4.71,4.11,4.32,1.81,1.55,2.32,2.02,3.25,1.34,2.44,3.51,2.43,3.52,5.21,4.18,3.41,1.47,1.26,3.17,5.82,2.35,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.77,3.44,4.45,2.56,2.02,4.79,2.51,5.08,0.54,1.67,2.36,3.76,3.68,1.18,1.8,3.05,1.98,5.64,4.04,3.76,2.62,2.32,3.66,2.96,1.93,2.18,2.5,1.06,3.56,2.81,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.87,4.39,3.3,2.22,2.57,0.91,4.45,1.54,2.52,3.63,3.24,2.63,0.91,4.4,1.82,2.37,1.48,1.76,1.44,2,2.35,4.09,0.28,1.1,4.34,1.87,4.02,4.32,2.62,1.51,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,3.56,4.52,3.26,2.76,2.91,3.4,4.33,1.82,4.39,3.11,1.52,4.08,4.3,3.04,2.15,2.69,5,2.99,7.12,0.6,4.95,4.27,2.54,3.7,3.88,2.53,3.41,2.73,3.63,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
