TWENTYLANDS PUMPING STATION,,,,,,,,,,,,,,,,,
Grid ref,TF387646,Long,0.073,Lat,53.160,Elevation,108,ft,,,,,,,,,
Station no,2540/1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.02,1.80,1.79,2.77,1.10,1.14,3.05,1.85,0.86,1.71,2.00,4.61,1.71,2.14,3.38,5.06
February,,2.06,2.05,5.69,0.82,0.62,3.76,3.26,0.57,1.77,2.49,1.42,2.03,2.32,3.06,0.27,2.83
March,,0.70,1.05,4.61,0.53,0.62,0.75,3.11,3.26,0.78,1.92,3.38,0.76,1.85,1.82,2.38,1.25
April,,1.69,1.03,1.88,1.33,1.92,2.29,2.83,1.12,3.11,0.26,0.99,1.16,0.08,0.56,1.95,1.09
May,,1.67,1.43,0.36,2.76,1.95,2.64,3.88,1.44,2.59,3.51,4.27,0.26,1.93,2.34,0.45,0.68
June,,2.12,2.53,2.26,3.40,0.82,0.97,0.99,1.58,3.84,2.43,3.78,3.08,1.81,3.17,1.00,0.29
July,,1.36,3.48,1.32,1.51,1.75,2.36,0.73,0.56,1.62,2.13,0.95,2.91,3.11,5.28,2.10,4.22
August,,2.75,2.92,0.01,4.32,1.94,2.01,3.36,1.48,2.76,4.21,1.10,4.04,3.48,1.35,1.35,3.85
September,4.76,2.33,3.48,1.12,2.59,1.01,2.75,1.44,2.46,0.89,2.00,0.77,2.07,4.06,2.27,0.07,2.60
October,2.97,2.04,2.19,0.26,1.82,4.13,1.00,1.40,2.27,2.15,3.12,1.76,1.15,1.58,1.85,1.88,5.81
November,3.95,1.01,3.09,1.12,0.87,3.07,4.99,3.72,2.42,1.54,3.72,1.56,0.81,2.13,0.95,2.42,4.26
December,1.19,2.38,2.14,1.39,3.14,1.82,1.41,1.21,1.80,0.95,2.27,1.91,1.73,1.99,3.11,3.82,4.30
Total,,22.13,27.19,21.81,25.86,20.75,26.07,28.98,20.81,22.86,29.77,23.89,24.61,26.05,27.90,21.07,36.24
,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/195,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/197,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"# The figures on the sheet in the 1942 and 1943 columns are metadata, not readings.",,,,,,,,,,,,,,,,,
# The total shown on the sheet for 1944 has been ignored as there are no readings before September.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
"# The grid reference is taken from the rainfall sheets, and gives the location of a small reservoir. Twentylands Farm is about 750m north of the reservoir.",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# The station continued until 1974 according to MIDAS. (MIDAS src_id = 3934),,,,,,,,,,,,,,,,,
