CHARMOUTH-HAMMONDS-MEAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY364932,Long,-2.9026,Lat,50.73492,Elevation,50,ft,,,,,,,,,,,,,
Station no,RR8487,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,0.71,3.61,1.12,1.41,3.98,4.55,4.4,2.86,5.35,,,,,,,,
February,,,,,4,5.02,2.47,1.46,2.31,4.28,0.51,0.26,2.8,,,,,,,,
March,,,,,4.99,0.96,3.1,2.9,1.71,4.2,3.27,1.98,2.74,,,,,,,,
April,,,,,1.28,0.94,0.63,1.23,1.59,2.2,3.92,1.02,3.95,,,,,,,,
May,,,,,1.83,0.4,2.39,2.43,1.75,0.91,1.61,1.84,0.72,,,,,,,,
June,,,,,1.95,2.01,2.28,1.57,0.99,0.52,2.7,0.57,0.87,,,,,,,,
July,,,,,4.41,4.91,0.7,2.19,5.36,2.28,4.27,0.53,4.53,,,,,,,,
August,,,,,2.62,1.43,4.73,4.51,1.05,2.67,1.27,2.05,3.67,,,,,,,,
September,,,,,2.46,0.66,2.36,2.07,6.27,1.52,1.75,0.83,1.81,,,,,,,,
October,,,,,3.15,6.82,6.95,3.46,1.57,2.18,2.05,1.03,1.65,,,,,,,,
November,,,,,4.23,2.87,3.85,0.91,2.55,2.38,2.1,3,1.79,,,,,,,,
December,,,,,7.44,7.72,5.19,1.47,3.95,4.75,3.07,1.93,4.37,,,,,,,,
Total,,,,,39.07,37.35,35.77,25.61,33.08,32.44,30.92,17.9,34.25,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge 100yds from ones at Leslie Cottage,,,,,,,,,,,,,,,,,,,,,
1911 Sept 15 Inspection Excellent site in calm weather but possibly too open in windy conditions,,,,,,,,,,,,,,,,,,,,,
Read weekly to 1911 Subsequently monthly,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Annual values queried in 1928 survey,,,,,,,,,,,,,,,,,,,,,
