"BALDOCK HIGH STREET",,,,,,,,,,,,
Grid ref,TL245338,Long,-0.188314,Lat,51.988709,,,,,,,
Station no,980,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.05,0.60,0.43,2.31,1.96,1.09,2.90,1.03,1.20,0.87,,
February,4.67,0.93,0.99,0.86,2.71,0.96,1.77,1.35,1.39,0.45,,
March,0.75,2.45,0.95,2.85,1.37,2.24,1.97,0.91,2.62,3.44,,
April,1.32,2.33,0.77,1.41,0.91,1.61,0.95,3.29,3.12,1.35,,
May,1.15,1.18,2.22,2.97,1.64,1.29,1.19,3.01,1.31,1.65,,
June,2.88,0.82,2.70,5.29,0.86,2.88,4.77,2.04,1.14,4.48,,
July,1.75,1.99,1.71,4.48,3.00,0.98,0.42,2.00,2.74,2.59,,
August,2.94,1.57,4.18,3.53,2.75,4.47,0.90,2.01,1.94,2.23,,
September,0.41,1.52,0.97,1.67,1.01,1.94,1.36,0.56,1.73,2.06,,
October,2.43,1.28,1.35,4.58,1.07,1.37,3.69,3.35,1.18,4.97,,
November,1.78,1.00,1.14,2.10,1.03,2.57,4.11,2.03,0.87,1.06,,
December,2.11,3.22,1.22,1.64,1.79,0.85,2.04,3.14,1.64,3.14,,
Total,25.24,18.89,18.63,33.69,20.10,22.25,26.07,24.72,20.88,28.29,,
Calc annual,25.24,18.89,18.63,33.69,20.10,22.25,26.07,24.72,20.88,28.29,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
