"DARLINGTON HURWORTH GRANGE",,,,,,,,,,,,
Grid ref,NZ297101,Long,-1.543080,Lat,54.485381,,,,,,,
Station no,RR1710,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.76,1.63,0.73,2.54,2.26,0.51,2.79,0.64,0.98,0.95,,
February,5.34,1.18,1.11,1.50,1.97,0.85,1.14,1.29,1.81,1.20,,
March,1.21,2.27,0.85,2.70,1.99,1.70,1.17,0.92,3.57,4.03,,
April,1.18,1.58,1.61,1.09,1.57,3.02,1.00,1.90,2.17,2.03,,
May,1.58,1.29,2.03,3.47,3.59,0.91,2.99,3.89,1.64,1.34,,
June,2.97,1.71,2.03,1.97,1.84,1.22,0.89,3.32,0.55,2.10,,
July,2.75,3.88,2.71,3.74,2.22,0.88,2.11,2.24,3.21,2.21,,
August,6.29,1.26,1.96,1.93,2.60,3.47,2.78,1.45,1.16,5.05,,
September,0.85,1.37,0.83,2.85,1.59,2.21,0.44,0.55,2.36,1.68,,
October,5.07,1.96,2.97,7.06,0.74,1.70,4.43,4.20,1.41,2.48,,
November,2.34,5.08,1.17,1.43,1.59,4.56,2.61,2.56,1.22,0.68,,
December,1.75,3.45,1.86,1.81,2.00,0.41,2.37,2.90,0.88,3.60,,
Total,34.09,26.66,19.86,32.09,23.96,21.44,24.72,25.86,20.96,27.35,,
Calc annual,34.09,26.66,19.86,32.09,23.96,21.44,24.72,25.86,20.96,27.35,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
