BARDSEA SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SD301745,Long,-3.072002,Lat,54.161527,Elevation,84,ft,,,,,,,,,,,,
Station no,RR6784,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,2.73,5.42,2.22,4.34,2.89,5.15,1.63,3.12,4.58,4.28,5.2,4.21,2.93,5.4,6.53
February,,,,,,2.31,3.41,2.44,2.69,3.31,6.24,5.6,2.76,2.39,4.14,5.24,3.8,1.66,5.07,1.57
March,,,,,,3.23,3.59,5.3,3.55,3.5,1.82,1.57,7.13,4.37,5.17,2.42,1.2,2.08,2.4,4.52
April,,,,,,3.88,2.62,2.75,2.83,3.99,2.72,3.66,1.51,4.64,0.78,2.9,3.32,1.85,1.33,2.1
May,,,,,,1.4,4.39,5.27,3.96,2.12,2.99,2.33,2.08,2.76,3.08,1.26,4.13,3.39,2.73,1.87
June,,,,,,2.66,3.21,8.24,2.63,2.18,2.82,2.81,6.13,2.97,1.18,1.07,3.5,2.41,2.69,1.77
July,,,,,,2.8,2.72,3.36,4.58,7.91,4.09,0.69,4.7,1.44,7.58,5.29,3.44,1.86,5.52,0.92
August,,,,,,5.1,4.68,5,4.23,4.1,6.53,3.79,6.16,2.23,4.23,4.71,2.05,9.05,5.7,4.55
September,,,,,,4.02,2.14,0.77,7.06,3.59,0.92,4.86,2.67,2.39,4.36,1.05,4.17,3.87,12.66,4.72
October,,,,,,4.18,6.2,7.73,2.66,7.85,2.95,4.72,7.06,3.44,2.84,1.29,8.09,8.67,5.41,2.43
November,,,,,,4.68,4.3,4.54,4.84,2.23,6.48,5.64,5.53,4.55,5.99,2.68,4.84,7.22,3.09,3.4
December,,,,,,1.61,4.95,6.32,4.12,7.21,4.34,8.14,5.71,4.51,6.65,6.92,4.33,2.79,9.26,6.64
Total,,,,,,38.6,47.63,53.94,47.49,50.88,47.05,45.44,54.56,40.27,50.28,40.03,47.08,47.78,61.26,41.02
