BARDSEA SCHOOL,,,,,,,,,,,,
Grid ref,SD301745,Long,-3.072002,Lat,54.161527,,,,,,,
Station no,RR6784,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.73,5.42,2.22,4.34,2.89,,
February,,,,,,2.31,3.41,2.44,2.69,3.31,,
March,,,,,,3.23,3.59,5.30,3.55,3.50,,
April,,,,,,3.88,2.62,2.75,2.83,3.99,,
May,,,,,,1.40,4.39,5.27,3.96,2.12,,
June,,,,,,2.66,3.21,8.24,2.63,2.18,,
July,,,,,,2.80,2.72,3.36,4.58,7.91,,
August,,,,,,5.10,4.68,5.00,4.23,4.10,,
September,,,,,,4.02,2.14,0.77,7.06,3.59,,
October,,,,,,4.18,6.20,7.73,2.66,7.85,,
November,,,,,,4.68,4.30,4.54,4.84,2.23,,
December,,,,,,1.61,4.95,6.32,4.12,7.21,,
Total,,,,,,38.60,47.63,53.94,47.49,50.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,38.60,47.63,53.94,47.49,50.88,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
