BLAENAVON-GAS-WORKS-NEW-POSITION,,,,,,,,,,
Grid ref,SO257086,Long,-3.0781952,Lat,51.771123,Elevation,1030,ft.,,
Station no,RR2710,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,4.27,,,,,,,,
February,,2.58,,,,,,,,
March,,6.3,,,,,,,,
April,,7.01,,,,,,,,
May,,2.04,,,,,,,,
June,2.52,2.12,,,,,,,,
July,3.28,2.9,,,,,,,,
August,5.73,3.69,,,,,,,,
September,1.94,3.92,,,,,,,,
October,8.5,2.75,,,,,,,,
November,7,1.73,,,,,,,,
December,9.5,6.87,,,,,,,,
Total,,46.18,,,,,,,,
,,,,,,,,,,
"NGR is 300 yards NE of gas works. Altitudes do not match, if 1030 is the new location. NGR could be +/- 200m",,,,,,,,,,
