WORKINGTON STAINBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY022293,Long,-3.517216,Lat,54.649285,Elevation,183,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.8,5.73,3.23,3.36,5.84,3.97,3.34,7.18,6.75,4.53,4.17,1.98,7.74,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,,4.02,3.44,5.15,5.13,2.49,2.52,3.44,2.96,3.69,3.57,6.91,1.26,6.45,3.26,5.04,4.18,5,1.85,3.7,4.36,4.43,5.38,1.83,0.56,5.46,4.41,3.81,2.81,5.56,3.13,6.18,2.52,2.02,3.94,3.37,2.44,3.28,2.95,2.81,5.55,4.9,,
February,,,,,,1.97,3.21,2.38,3.78,4.82,2.96,3.08,3.39,0.73,3.36,1.32,3.43,2.81,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,,3.52,0.42,2.9,0.24,3.77,4.02,0.41,3.92,3.53,1.62,3.45,0.55,0.52,3.19,0.03,3.03,0.43,4.82,2.15,4.36,1.67,4.56,0.85,2.9,1.97,3.53,2.01,3.57,2.3,0.5,2.15,2.66,4.01,3.18,0.59,1.35,3.52,1.02,0.52,3.36,,,
March,,,,,,1.76,2.62,1.13,5.44,1.28,2.22,2.57,3.08,3.11,2.46,0.96,3.19,2.2,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,1.53,2.39,5.55,5.28,1.04,1.04,1.14,1.46,1.13,2.69,2.49,1.01,2.64,0.78,3.3,2.74,1.98,1,2.02,1.46,2.54,2.51,5.95,2.43,2.7,1.34,0.32,2.64,2.41,4.97,2.89,2.16,4.1,3.77,2.26,0.51,3.07,1.23,1.27,3.62,,,
April,,,,,,0.45,0.77,3.92,2.5,2.73,1.62,2.25,1.89,0.49,1.68,1.29,2.38,2.29,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,,0.83,2.49,3.04,0.99,2.43,3.05,1.48,3.62,1.97,1.89,1.21,0.91,1.04,1.48,2.84,2.71,3.5,2.58,0.83,2.96,0.4,2.04,1.83,1.69,1.86,2.19,2.88,1.95,1.76,5.59,2.02,3.88,3.19,2.12,3.03,2.74,1.38,2.59,1.22,1.68,,,
May,,,,,,5.26,1.55,1.85,2.46,2.23,2.8,0.94,2.58,1.95,1.17,2.35,0.53,2.86,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,,2.48,1.28,4.91,2.57,3.23,2.17,3.84,5.72,2.05,1.63,1.26,2.96,1.6,1.94,3.34,2.72,3.73,0.83,1.49,1.5,4.37,0.26,1.47,3.23,3.43,3.34,2.46,5.2,1.28,3.54,1.13,2.88,1.27,1.22,2.34,2.05,3.91,2.63,2.97,3.03,,,
June,,,,,,0.68,2.06,1.18,1.03,1.38,2.12,1.8,5.47,1.96,1.11,3.67,3.65,3.37,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,,1.26,3.31,2.05,0.39,2.68,1.63,2.68,0.3,3.13,3.95,4.39,1.93,2.02,5.95,1.37,1.41,2.32,3.41,3.79,2.55,6.29,3.5,0.89,0.79,0.76,2.63,3.59,3.07,3.04,3.28,5.36,0.85,3.48,1.47,3.75,1.99,4.6,4.38,2.26,1.58,,,
July,,,,,,2.7,3.37,3.24,0.9,1.91,1.09,3.08,3.92,4.26,2.18,3.35,2.67,3.88,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,3.01,0.88,5.43,3.84,5.42,4.45,4.56,1.85,3.32,5.16,6.18,5.13,2.62,4.81,3.44,3.25,1.32,2.08,4.56,4.23,7.88,6.31,3.66,2.18,3.43,2.88,3.03,3.48,4.8,3.44,2.8,3.22,4.57,3.92,2.14,5.51,5.05,2.78,5.52,3.61,,,
August,,,,,,3.94,2.88,3.33,3.48,1.63,1.4,3.39,3.36,4.14,6.32,4.04,3.74,7.75,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.11,,3.76,3.24,3.09,5.31,4.32,7.01,3.34,2.97,3.28,4.42,6.14,6.89,6.96,3.85,1.96,2.82,5.32,2.67,2.46,1.91,3.48,2.35,1.84,4.82,5.08,6.39,4.22,2.11,5.31,0.1,5.69,3.27,5.8,6.17,5.58,4.5,5.31,2.31,9.18,3.86,,,
September,,,,,,1.65,5.93,3.92,1.75,6.6,4.16,2.23,6.14,1.74,6.33,5.11,3.43,2.1,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,,8.58,3.42,2.11,2.03,2.57,5.32,5.25,3.47,4.32,6.77,4.63,1.24,1.98,2.44,5.07,1.65,4.36,5.09,5.22,3.39,2.52,2.58,3.78,1.64,4.86,4.89,5.13,4.19,6.72,3.52,6.03,1.48,10.79,7.4,3.7,6.03,7.1,2.65,3.84,5.77,,,
October,,,,,,3.46,1.9,4.79,5.2,2.66,7.49,3.31,7.3,5.9,7.31,3.2,3.18,5.35,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.27,,5.66,1.55,1.84,2.9,1.71,7.11,3.32,5.3,3.02,3.17,5.7,6.45,6.83,3.64,6.67,3.46,5.46,5.86,3.37,3.25,9.38,1.52,3.9,6.44,4.38,8.09,3.68,3.93,0.68,0.85,3.66,5.53,3.74,0.86,2.65,2.87,8.66,1.8,3.46,5.02,,,
