FORT AUGUSTUS (AUCHTERAWE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH368092,Long,-4.698131,Lat,57.145058,Elevation,136,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5701/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.65,8.8,9.96,4.73,0.82,0.38,3.74,4.8,8.35,4.26,6.92,3.52,5.4,10.52,5.22,5.69,6.23,4.1,5.45,4.88,4.23,,,,
February,,,,,,2,4.37,6.16,7.69,1.54,4.02,2.23,6.67,3.63,7.87,5.05,,5.89,9.01,6.48,3.78,2.65,4.29,3.14,2.93,2.91,,,,
March,,,,,,2,2.8,8.65,4.83,3.2,2.01,1.34,5.68,2.23,5.71,2.89,,5.57,2.9,2.92,2.53,3.48,2.34,2.94,1,2.57,,,,
April,,,,,,1.75,0.06,1.28,2.81,3.63,2.21,1.49,5.59,3.02,1.59,1.69,10.04,3.92,5.81,6.19,6.21,2,3.5,2.03,2.21,3.03,,,,
May,,,,,,2.75,1.74,2.7,1.64,1.45,2.25,2.36,3.14,4.18,3.96,1.32,2.17,2.57,2.54,1.36,0.82,1.77,5.24,4.34,3.72,4.65,,,,
June,,,,,,1.15,1.97,4.84,1.63,1.28,0.97,2.45,5.19,4.56,4.08,3.81,4.01,3.42,1.19,3.42,2.53,2.46,3.18,2.62,1.96,2.2,,,,
July,,,,,,4.37,3.21,4.96,5.14,7.11,3.53,2.6,1.53,2.36,1.45,5.75,2.65,4.14,1.26,2.78,3.08,3.25,3.57,2.19,0.14,4.32,,,,
August,,,,,,2.65,3.5,3.44,1.09,2.43,5.23,5.15,5.31,2.97,1.89,2.75,0.02,7.39,5.05,3.57,4.65,5.47,4.05,3.69,0.55,5.49,,,,
September,,,,,,2.5,4.81,3.37,1.55,2.27,1.9,6.33,3.5,3.54,4.23,5.99,6.99,5.07,2.16,8.4,2.5,4.35,4.89,4.88,5.33,5.87,,,,
October,,,,,,5.3,2.29,10.4,1.56,5.07,4.6,8.62,8.61,5.43,2.87,0.44,,4.85,5.79,6.27,1.92,5.97,2.35,9.53,4.83,,,,,
November,,,,,,5,0.58,10.25,7.64,7.97,6.12,1.75,3.8,6.59,0.63,3.65,,6.11,4.64,5.1,5.26,3.53,9.09,5.57,1.08,,,,,
December,,,,,,9.35,1.39,5.64,2.36,6.75,6.41,7.97,4.09,6,4.6,4.4,,6.82,13.12,3.22,8.77,5.69,5.99,11.94,8,,,,,
Total,,,,,,41.47,35.52,71.65,42.67,43.52,39.63,46.03,57.91,52.86,43.14,44.66,,61.15,63.99,54.93,47.74,46.85,52.59,58.32,36.63,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 JF corrected For ommissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 np Too much est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 np low does not look to bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5701/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,800068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
