FORT AUGUSTUS (AUCHTERAWE),,,,,,,,,,
Grid ref,NH367090,Long,-4.700468,Lat,57.14277,Elevation,136,ft,,
Station no,5701/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,9.55,3.9,3.16,3.24
February,,,,,,,3.55,1.72,2.73,3.08
March,,,,,,,3.92,1.38,2.59,0.88
April,,,,,,,1.23,3.38,4.13,4.11
May,,,,,,,1.16,4.63,1.63,0.96
June,,,,,,,2.44,1.87,3.39,3.16
July,,,,,,,4.45,3.02,3.95,2.67
August,,,,,,,4.52,4.52,2.55,4.63
September,,,,,,,2.93,3.42,1.16,3.3
October,,,,,,5.4,5.87,6.77,6.54,1.34
November,,,,,,4.32,2.27,1.22,6.54,3.64
December,,,,,,9.38,6.67,4.84,6.79,6.11
Total,,,,,,,48.56,40.67,45.16,37.12
,,,,,,,,,,
Station no,5701/8,,,,,,,,,
Midas,14637,,,,,,,,,
Hyd Stn,800068,,,,,,,,,
