"FORT AUGUSTUS (AUCHTERAWE)",,,,,,,,,,,,
Grid ref,NH367090,Long,-4.700468,Lat,57.142770,,,,,,,
Station no,5701/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.69,6.23,4.10,5.45,4.88,4.23,9.55,3.90,3.16,3.24,,
February,3.78,2.65,4.29,3.14,2.93,2.91,3.55,1.72,2.73,3.08,,
March,2.53,3.48,2.34,2.94,1.00,2.57,3.92,1.38,2.59,0.88,,
April,6.21,2.00,3.50,2.03,2.21,3.03,1.23,3.38,4.13,4.11,,
May,0.82,1.77,5.24,4.34,3.72,4.65,1.16,4.63,1.63,0.96,,
June,2.53,2.46,3.18,2.62,1.96,2.20,2.44,1.87,3.39,3.16,,
July,3.08,3.25,3.57,2.19,0.14,4.32,4.45,3.02,3.95,2.67,,
August,4.65,5.47,4.05,3.69,0.55,5.49,4.52,4.52,2.55,4.63,,
September,2.50,4.35,4.89,4.88,5.33,5.87,2.93,3.42,1.16,3.30,,
October,1.92,5.97,2.35,9.53,4.83,5.40,5.87,6.77,6.54,1.34,,
November,5.26,3.53,9.09,5.57,1.08,4.32,2.27,1.22,6.54,3.64,,
December,8.77,5.69,5.99,11.94,8.00,9.38,6.67,4.84,6.79,6.11,,
Total,47.74,46.85,52.59,58.32,36.63,54.37,48.56,40.67,45.16,37.12,,
Calc annual,47.74,46.85,52.59,58.32,36.63,54.37,48.56,40.67,45.16,37.12,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
