SOUTHAMPTON OSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU421129,Long,-1.4019,Lat,50.9142,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,3.68,2.85,1.06,2.34,5.08,0.81,4.08,5.1,2.85,5.05,6.67,5.36,4.37,3.44,2.22,2.91,6.91,5.12,2.1,4.66,1.04,6.25,1.36,4.31,0.83,1.53,1.79,3.44,3.44,2.83,4,3.11,1.17,0.81,3.94,3.11,0.84,1.7,4.08,3.53,1.1,2.72,0.56,4,3.72,1.42,1.06,2.6,4.86,1.06,8.16,1.01,1.9,
February,,,,,,2.16,1.99,0.42,1.3,3.08,1.15,2.37,0.79,1.28,2.11,4.08,6.44,2.39,0.94,3.15,2.64,1.6,2.38,2.89,2.08,2.94,2.81,1.66,2.35,4.14,3.54,3.4,1.89,4.44,2.5,3.4,0.69,0.94,1.15,1.91,0.73,0.03,1.11,3.74,2.23,0.12,0.37,3.77,2.25,3.13,5.54,1.65,1.67,1.92,3.81,0.86,3.46,1.62,1.57,
March,,,,,,2.41,1.43,2.14,0.89,1.96,2.33,3,4.9,1.52,3.31,1.1,2.89,2.87,2.89,1.91,1.78,1.38,2.96,3.09,0.46,1.01,3.72,2.31,1.57,0.48,0.83,2.72,0.59,0.9,2.39,2.12,2.56,1.74,3.45,2.7,1.16,2.69,1.09,0.26,1.88,2.04,3.55,5.25,0.68,0.88,1.17,2.32,2.45,3.41,1.49,4.86,1.41,0.71,3.32,
April,,,,,,0.4,5,2.39,3.71,3.63,1.87,0.41,2.27,0.8,2.46,0.86,2.44,1.86,3.25,1.05,0.38,4.19,1.44,1.07,2.91,1.37,2.33,2.9,3.37,3.01,1.78,0.84,3.59,1.04,1.67,1.57,2.69,1.32,2.36,2.09,2.66,1,0.74,0.07,1.75,2.62,0.54,2.1,1.66,2.89,1.38,2.8,1.73,2.77,1.53,1.62,0.88,4.35,3.19,
May,,,,,,2.35,2.18,0.75,2.59,1.45,3.5,1.63,4.66,2.17,1.55,2.92,1.6,1.49,1.62,4.2,1.45,0.43,2.54,1.25,1.86,1.76,0.53,2.39,4.49,2.79,0.39,1.07,1.86,2.57,1.05,3.8,3.87,1.12,2.19,2.71,1.69,2.5,0.82,0.84,1.24,0.31,0.34,1.43,4.47,1.18,1.67,1.66,2.88,2.87,3.64,0.68,2.11,3.02,2.26,
June,,,,,,1.72,1.58,1.51,0.56,1.79,8.07,3.97,2.11,3.72,1.41,2.56,1.62,1.24,0.59,1.63,0.31,2.44,2.99,2.25,1.97,2.84,1.47,0.82,1.73,5.26,2.15,2.26,3.07,1.37,2.17,1.56,0.66,0.98,2.8,0.41,2.73,1.8,1.41,1.03,2.05,1.93,1.79,2,0.97,1.37,2.86,1.09,3.8,4.03,1.06,3.99,1.79,1.88,0.51,
July,,,,,,3.97,0.65,1.72,2.73,2.62,3.33,4.07,2.08,1.04,0.32,4.07,1.63,5.06,0.67,0.99,0.52,4.94,3.24,2.3,1.28,4.55,0.63,3.23,1.62,4.13,5.25,1.73,2.84,3.15,2.19,0.29,2.47,0.8,6.19,2.68,4.03,2.45,2.39,4.02,5.23,3.86,0.69,1.13,0.58,1.33,1.07,3.57,1.73,2.63,1.58,0.4,0.68,1.47,1.7,
August,,,,,,1.88,2.55,2.61,2.18,2.3,4.53,0.87,1.43,2.51,0.81,5.06,2.61,2.09,4.71,0.76,2.74,1.3,1.37,2.6,2.36,1.7,3.93,3.03,6.87,6.42,0.94,4.36,2.12,1.12,1.27,0.67,1.31,2.89,2.52,2.13,3.63,5.49,3.53,1.29,1.99,2.69,2.55,4.4,1.23,0.57,3.49,2.93,3.33,4.21,3.14,3.28,1.53,1.65,-999,
September,,,,,,3.48,2.66,3.68,2.97,5.27,3.91,3.07,1.17,3.89,2.43,0.13,6.62,3.36,3.7,4.11,2.2,4.59,1.87,2.72,3.19,1.57,4.6,1.94,1.48,3.76,5.79,1.92,2.24,4.31,2.02,5.06,2.65,2.86,1.08,1.05,1.35,1.33,3.1,1.67,1.76,0.29,6.7,2.67,0.98,3.17,1.06,2.27,1.3,2.64,2.5,1.99,0.91,0.45,-999,
October,,,,,,7.38,2.93,7.53,2.61,4.72,2.09,1.09,6.77,4.54,1.42,8.74,1.6,3.07,2.78,2.85,3.79,2.59,6.3,2.99,5.18,4.88,2.89,2.42,3.57,0.82,4.6,1.51,6.83,2.75,0.87,3.93,5.33,1.33,1.66,5.37,0.91,9.81,4.47,3.43,5.23,3.08,3.06,0.85,4.99,2.19,2.37,2.87,2.33,11.05,2.44,2.27,5.92,7.32,-999,
