SOUTHAMPTON OSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU421129,Long,-1.4019,Lat,50.9142,Elevation,94,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.5,2.53,0.69,1.55,3.6,0.76,2.88,3.67,1.75,3.93,4.22,4.51,3.31,2.85,1.85,2.38,5.73,4.19,1.67,3.97,0.75,5.61,1.17,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.29,0.34,1.07,2.42,0.87,2.11,0.54,0.87,1.73,3.17,4.35,2.09,0.61,2.53,2.38,1.14,1.96,2.28,1.73,2.59,2.41,1.43,2.12,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.96,1.03,2.02,0.77,1.38,1.68,2.46,3.52,1.13,2.71,0.82,2.28,2.48,2.44,1.74,1.4,1.06,2.48,2.86,0.36,0.83,3.36,2.12,1.26,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.3,4.08,2.07,2.6,2.94,1.47,0.4,1.56,0.7,2.02,0.77,2.29,1.6,2.93,0.93,0.36,3.65,1.38,1.1,2.52,1.27,2.14,2.67,3.15,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.03,1.97,0.71,2.24,1.32,2.84,1.6,4.07,1.74,1.35,2.59,1.52,1.35,1.44,4.22,1.36,0.41,2.38,1.23,1.94,1.59,0.51,2.25,4.09,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.56,1.35,1.49,0.54,1.7,6.71,3.68,1.74,3.72,1.22,2.23,1.43,1.21,0.56,1.59,0.28,2.28,2.55,2.19,1.94,2.67,1.47,0.76,1.61,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.56,0.7,1.6,2.58,2.28,2.74,3.45,1.91,1.06,0.25,3.28,1.53,4.76,0.66,1.05,0.55,4.65,3.2,2.04,1.28,4.15,0.63,3.01,1.54,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.58,2.61,2.36,1.86,2.12,3.67,0.79,0.89,2.67,0.83,3.79,2.36,2.04,4.51,0.7,2.76,1.25,1.27,2.3,1.97,1.62,3.76,2.76,6.45,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.78,2.36,3.38,2.35,4.48,3.42,2.62,1.28,3.17,2.23,0.09,6.18,3.26,3.37,3.44,1.95,4.5,1.74,2.52,2.9,1.42,4.27,1.84,1.32,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.36,2.49,6.4,2.13,3.57,1.61,0.82,5.38,3.42,1.24,6.9,1.47,2.87,2.55,2.75,3.22,2.35,5.96,2.85,4.46,4.4,2.59,2.14,3.32,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,1.04,1.31,1.9,1.45,3.57,2.67,4.58,0.78,1.81,3.22,3.35,1.77,0.26,1.51,1.21,1.78,0.64,3.9,2.42,2.68,4.23,3.71,5.49,2.22,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,1.71,2.95,0.79,3.16,3.76,4.43,1.46,2.13,1.86,1.88,2.17,1.62,1.39,7.47,3.26,2.99,2.04,4.91,0.39,4.1,0.95,6.95,1.66,1.52,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,24.64,25.59,21.44,31.09,35.71,24.73,26.68,25.82,20.43,33.09,31.02,27.82,31.36,26.27,20.88,26.35,37.46,26.37,27.55,29.69,32.55,31.74,29.77,33.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note Grid Ref from distances from St Paul's Church indicating Asylum Green, opp OSO.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
