SWAFFHAM-CEMETERY,,,,,,,,,,
Grid ref,TF821081,Long,0.689861,Lat,52.640079,Elevation,210,ft,,
Station no,1466/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.54,3.17,3.17,1.9,2.69,3.03
February,,,,,3.15,1.34,1.34,3.23,0.27,1.6
March,,,,,1.52,0.7,0.7,2.41,0.49,1.15
April,,,,,0.54,0.84,0.84,0.53,2.05,0.7
May,,,,,3.16,1.17,1.17,1.72,1.15,1.1
June,,,,,2.48,2.74,2.74,1.82,1.07,1.78
July,,,,,0.33,2.98,2.98,3.27,2.53,3.47
August,,,,,0.98,4.62,4.62,2.32,1.89,3.77
September,,,,,2.19,1.78,1.78,4.33,0.09,3.97
October,,,,,3.37,1.94,1.94,1.61,1.79,4.47
November,,,,,1.62,1.34,1.34,1.95,1.64,4.07
December,,,,,1.48,1.93,1.93,2.35,4.02,3.45
Total,,,,,22.36,24.55,24.55,27.44,19.68,32.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"1955, 1957, 1958, 1959, 1960 values missed from transcription",,,,,,,,,,
,,,,,,,,,,
Note on TYR states that gauge rim is at 7 feet above ground level on a pole and consequently asked all values to be deleted from MCDrain dataset.,,,,,,,,,,
