BROXBOURNE-BROXBOURNEBURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL364073,Long,-0.025578,Lat,51.747801,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,946/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.5,3.6,3.81,2.79,5.81,2.09,2.17,2.27,4.41,1.35,1.85,2.01,1.87,3.45,1.3,1.57,2.47,1.88,0.83,0.89,2.12,3.7,1.09,2.49,2.17,2.42
February,,,,,2.62,1.73,3.63,0.56,0.96,1.64,2.34,1.06,1.25,1.16,1.59,2.64,1.14,1.54,1.2,3.46,5.19,0.74,1.45,1.54,1.65,0.51,2.96,2.42,0.12,1.74
March,,,,,0.51,0.93,2.3,0.41,1.71,2.78,2.89,1.65,0.54,0.16,0.71,1.27,5.03,0.86,0.84,0.65,3.09,3.09,0.45,2.29,1.25,0.85,1.11,1.06,2.06,1.2
April,,,,,3.05,1.28,3.03,0.15,2.49,1.56,1.32,1.38,1.11,1.49,1.28,1.57,1.88,1.29,1.54,1.65,2.79,1.77,2.24,0.28,0.4,1.21,0.22,1.3,2.35,0.5
May,,,,,1.49,0.99,2.93,2.11,1.11,1.97,1.68,2.53,2,0.66,1.92,2.25,0.62,2.33,2.01,1.66,2.38,1.18,1.32,1.77,4.37,0.63,0.82,2.94,0.86,1.41
June,,,,,3.73,3.93,1.75,0.38,1.56,1.04,0.85,0.18,1.59,1.67,2.05,2.89,2.63,2.32,0.5,1.43,0.95,1.05,1.96,3.54,2.27,2.21,1.75,6.11,1.33,1.51
July,,,,,0.6,4.3,2.55,1.43,2.22,2.29,2.77,2.22,1.69,2.47,3.57,2.85,1.99,0.84,1.89,3.58,0.79,0.6,3.03,2.53,0.22,3.94,2.97,3.05,1.78,2.72
August,,,,,1.36,0.34,1.1,1.93,3.45,0.05,5.13,1.74,1.51,2.72,1.14,3.86,0.06,3.01,1.57,2.4,4.21,3.63,1.46,3.8,1.79,4.2,1.78,3.27,0.64,2.95
September,,,,,3.47,3.32,1.67,2.98,1.71,0.91,0.72,1.45,2.09,3.22,2.12,3.89,1.2,1.46,0.21,3,3.29,2.87,1.72,1.58,1.47,2.07,3.27,3.54,0.06,4.82
October,,,,,3.44,2.06,2.02,2.91,4.76,2.5,1.05,3.57,2.29,3.87,2.87,1.27,0.1,2.32,5.34,0.39,0.81,2.32,2.84,2.18,3.68,2.01,1.95,2.65,1.85,5.71
November,,,,,3.68,3.06,1.57,3.19,4.35,6.45,2.33,2.15,1.55,3.45,0.25,4.51,0.95,1.79,2.5,4.75,4.44,3.54,1.17,4.11,0.97,0.84,1.45,1.88,2.52,3.31
December,,,,,2.83,1.72,3.38,3.22,1.26,1.46,1.5,2.73,1.45,1.41,3.47,1.99,2.62,2.53,1.53,1.56,1.78,2.52,0.47,1.51,1.91,3.05,2.33,3.01,3.89,2.92
Total,,,,,28.28,27.26,29.74,22.06,31.39,24.74,24.75,22.93,21.48,23.63,22.82,31,20.09,23.74,20.43,26.1,32.19,25.19,18.94,26.02,22.1,25.22,21.7,33.72,19.63,31.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
