"BROXBOURNE (EAST LODGE)",,,,,,,,,,,,
Grid ref,TL364073,Long,-0.025578,Lat,51.747801,,,,,,,
Station no,946/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.47,1.88,0.83,0.89,2.12,3.70,1.09,2.49,2.17,2.42,,
February,5.19,0.74,1.45,1.54,1.65,0.51,2.96,2.42,0.12,1.74,,
March,3.09,3.09,0.45,2.29,1.25,0.85,1.11,1.06,2.06,1.20,,
April,2.79,1.77,2.24,0.28,0.40,1.21,0.22,1.30,2.35,0.50,,
May,2.38,1.18,1.32,1.77,4.37,0.63,0.82,2.94,0.86,1.41,,
June,0.95,1.05,1.96,3.54,2.27,2.21,1.75,6.11,1.33,1.51,,
July,0.79,0.60,3.03,2.53,0.22,3.94,2.97,3.05,1.78,2.72,,
August,4.21,3.63,1.46,3.80,1.79,4.20,1.78,3.27,0.64,2.95,,
September,3.29,2.87,1.72,1.58,1.47,2.07,3.27,3.54,0.06,4.82,,
October,0.81,2.32,2.84,2.18,3.68,2.01,1.95,2.65,1.85,5.71,,
November,4.44,3.54,1.17,4.11,0.97,0.84,1.45,1.88,2.52,3.31,,
December,1.78,2.52,0.47,1.51,1.91,3.05,2.33,3.01,3.89,2.92,,
Total,32.19,25.19,18.94,26.02,22.10,25.22,21.70,33.72,19.63,31.21,,
Calc annual,32.19,25.19,18.94,26.02,22.10,25.22,21.70,33.72,19.63,31.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
