SKENFRITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO455204,Long,-2.7931401,Lat,51.879488,Elevation,140,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4030/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,,6.78,2.59,2.25,3.48,2.67,5.77,1,0.54,3.97,2.75,0.74,2.55,3.94,3.91,2.49,2.86,5.56,4.01
February,,,,,,,,,,,,,2.24,0.69,2.43,2.33,2.55,1.5,1.44,6.39,4.25,0.5,1.91,2.59,1.57,0.39,4,5.76,0.27,3.25
March,,,,,,,,,,,,,1.04,0.3,0.84,1.19,7.42,1.79,1.37,1.99,3.99,2.17,1.08,2.87,2.17,0.71,2.87,0.93,3.09,2.48
April,,,,,,,,,,,,,0.54,1.45,1.61,2.1,3.58,3.24,2.83,1.81,2.26,1.7,3.7,0.16,0.87,2.35,0,0.48,3.26,2.23
May,,,,,,,,,,,,,3.91,0.51,2.59,4.18,2.3,4.12,2.82,1.55,3.4,3.38,2.02,2.15,6.29,0.65,1.79,2.73,2.08,1.64
June,,,,,,,,,,,,,1.83,1.6,3.2,2.27,1.91,3.09,0.57,1.24,0.81,1.96,1.53,4,4.21,2.36,0.72,3.04,1.09,1.59
July,,,,,,,,,,,,,1.55,1.6,2.92,1.23,3.4,1.01,0.84,4.46,1.38,1.58,3.74,1.21,0.12,2.93,3,3.13,2,2.54
August,,,,,,,,,,,,,2.05,2.51,4.31,6.16,1.24,4.45,1.31,4.24,4.12,6.23,4.24,3.45,0.4,3.39,2.36,2.74,0.79,
September,,,,,,,,,,,,1.24,2.88,2.66,2.49,4.67,1.42,3.03,2.01,3.6,3.14,2.94,3.21,1.84,1.49,3.51,4.47,7.04,0.07,
October,,,,,,,,,,,,1.88,2.72,4.86,3.56,0.99,0.46,4.02,7.62,1.47,0.81,4.82,3.46,4.28,1.88,1.61,1.61,3.7,2.9,
November,,,,,,,,,,,,0.82,2.09,4.88,0.97,7.25,2.69,1.94,3.32,5.1,7.55,4.42,2.04,7.39,4.42,0.98,2.56,2.39,5.21,
December,,,,,,,,,,,,4.64,1.95,2.3,6.38,3.1,2.13,5.54,1.95,1.93,3.27,2.47,1.37,3.55,4.21,4.24,3.12,3.36,8.58,
Total,,,,,,,,,,,,,29.58,25.95,33.55,38.95,31.77,39.5,27.08,34.32,38.95,34.92,29.04,36.04,31.57,27.03,28.99,38.16,34.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the vicarage, which has the stated relationship to the church and the original observer, who took no readings was a vicar. Altitudes match. 1950s record has an NGR of SO456204, which is the wrong side of the church.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930s record is blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
