"FONT RES. (TYNEWOUTH W.W.)",,,,,,,,,,,,
Grid ref,NZ046938,Long,-1.929206,Lat,55.238382,,,,,,,
Station no,3588,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.25,4.25,2.09,0.55,2.50,0.81,1.70,1.33,,
February,,,2.17,2.35,2.79,0.78,0.90,1.65,2.05,2.74,,
March,,,1.55,2.74,1.74,2.35,1.22,1.99,4.05,3.94,,
April,,,1.66,1.86,1.83,3.03,0.85,2.67,2.03,3.96,,
May,,,3.06,1.71,2.53,0.99,4.17,4.08,2.55,1.75,,
June,,,1.78,1.88,1.98,1.09,1.92,3.56,0.43,2.79,,
July,,,2.56,5.15,1.37,0.82,2.04,1.70,2.61,2.85,,
August,,,1.98,2.74,2.53,4.50,4.65,2.80,2.87,2.41,,
September,,,1.42,2.96,1.58,2.10,0.84,0.37,2.62,1.86,,
October,,,2.21,7.96,0.62,2.83,6.07,5.29,2.81,2.91,,
November,,,2.30,2.32,3.19,5.27,3.62,2.69,1.41,0.54,,
December,,,4.70,2.58,2.39,1.02,1.79,3.61,1.43,3.04,,
Total,,,26.64,38.50,24.64,25.33,30.57,31.22,26.56,30.12,,
Calc annual,0.00,0.00,26.64,38.50,24.64,25.33,30.57,31.22,26.56,30.12,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
