"NORTH SHIELDS TYNEMOUTH TYNE PIER WORKS",,,,,,,,,,,,
Grid ref,NZ372693,Long,-1.419768,Lat,55.016864,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.17,1.49,0.88,2.63,1.79,0.23,2.42,0.49,1.32,0.68,,
February,4.43,1.95,1.72,0.84,2.22,0.76,1.05,1.21,1.39,1.38,,
March,1.86,1.86,0.72,1.06,0.94,1.55,1.06,0.80,2.41,4.96,,
April,1.33,0.88,1.38,1.93,1.42,2.35,0.61,1.73,2.69,2.73,,
May,1.07,2.39,2.81,2.23,2.93,0.55,6.34,5.35,1.78,1.81,,
June,3.80,1.31,2.40,2.79,2.04,0.65,1.63,2.29,0.90,2.33,,
July,2.07,2.23,2.21,5.03,1.02,1.58,0.88,1.56,2.84,2.45,,
August,6.52,2.35,1.90,1.81,2.89,2.65,3.30,2.84,1.31,3.32,,
September,0.80,1.22,0.75,2.87,0.90,1.68,0.44,0.87,1.69,1.90,,
October,7.15,3.20,2.03,7.72,0.82,4.20,4.97,4.36,1.26,3.07,,
November,2.58,5.73,1.13,2.81,2.89,4.29,2.61,1.49,1.24,1.00,,
December,1.97,4.94,2.87,1.77,2.01,0.14,2.64,3.12,1.42,3.90,,
Total,36.75,29.55,20.80,33.49,21.87,20.63,27.95,26.11,20.25,29.53,,
Calc annual,36.75,29.55,20.80,33.49,21.87,20.63,27.95,26.11,20.25,29.53,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
