BRISTOL-TELEPHONE-AVENUE (ROOF GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST587728,Long,-2.595751,Lat,51.452666,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,3.02,0.51,4.38,1.72,1.66,1.22,3.28,1.05,3.77,5.55,0.96,3.2,2.51,0.92,3.67,4.49,4.5,3.38,3.33,1.72,4.65,2.79,5.05,3.01,5.17,0.88,4.76
February,,,,,3.65,0.73,2.06,1.46,1.61,0.51,4.51,2.22,2.43,0.99,3.2,4.18,5.07,1.41,2.11,2.75,1.55,0.3,4.36,7.36,0.38,3.94,2.17,3.2,3.55,1.48,0.5
March,,,,,2.06,4.14,2.37,1.03,2.61,3.19,0.6,2.49,4.61,3.68,4.25,1.18,3.88,3.61,1.58,5.35,2.58,1.98,3.36,1.32,1.72,0.62,0.65,2.79,2.59,0.48,2.51
April,,,,,1.98,2.64,1.02,3.39,2.76,3.26,2.66,1.65,0.25,2.96,1.66,1.2,1.24,1.81,2.66,2.06,4.2,0.87,2.83,2.46,3.27,1.73,2.68,1.2,1.02,0.77,2.55
May,,,,,2.35,0.08,2.28,2.5,1.76,1.57,1.44,1.27,2.14,2.5,1.37,2.71,3.45,2.17,1.96,0.3,1.75,1.78,0.93,1.91,3.92,4.96,2.66,1.17,1.27,2.07,1.64
June,,,,,1.48,4.45,2.46,2.6,0.99,4.18,5.02,3.04,4.77,0.94,2.44,0.76,2.53,3.01,1.22,1.35,3.19,0.21,1.36,0.5,3.41,0.02,1.85,3.18,2.37,1.83,1.45
July,,,,,3.73,0.38,1.42,3.29,1.71,3.12,1.73,0.12,3.8,0.65,5.51,6.41,1.24,2.13,4.45,2.94,5.36,0.73,4.25,2.11,4.78,3.21,1.99,5.56,3.5,1.55,2.33
August,,,,,3.22,3.3,2.32,1.88,4.84,2.42,6.14,1.41,7.08,1.23,2.27,2.26,4.57,8.37,2.55,2.5,1.74,2.36,4.3,4.68,4.98,2.69,2.87,3.79,3.16,3.58,4.32
September,,,,,1.4,1.41,0.69,0.54,2.72,2.59,0.24,1.31,0.59,3.61,1.32,1.47,1.72,2.73,10,1.57,1.66,4.2,2.21,3.03,3.29,3.15,1.29,6.19,1.01,0.46,3.75
October,,,,,1.1,1.64,5.33,4.35,1.46,5.56,5.1,3.07,4.36,2.76,1.8,4.26,6.86,6.21,1.57,2.57,3.01,1.59,1.49,4.18,6.12,3.71,4.32,2.27,6.45,6.02,3.07
November,,,,,1.87,2.92,2.51,2.77,1.17,1.22,4.79,4.15,2.35,2.88,3.99,1.86,2.68,0.84,1.94,1.89,2.04,1.8,1.68,2.99,3.15,2.01,7.49,2.91,3.07,8.15,4.39
December,,,,,2.2,0.85,1.25,5.87,2.84,4.61,4.73,6.8,6.12,1.82,7,6.7,4.03,0.67,4.1,5.94,2.91,2.58,4.72,2.63,5.52,4.54,0.48,2.89,3.14,7.63,3.6
Total,,,,,28.06,23.05,28.09,31.4,26.13,33.45,40.24,28.58,42.27,29.57,35.77,36.19,39.78,33.88,37.81,33.71,34.49,21.78,34.82,34.89,45.19,33.37,33.5,38.16,36.3,34.9,34.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note that this is a roof gauge, approx 50-60ft.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
