BARTON MET OFFICE AIRPORT,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ746973,Long,-2.3841229,Lat,53.471815,Elevation,70,ft,,,,,,,,,,,,
Station no,2830/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.35,1.92,3.97,3.01,3.82,5.04,2.66,1.21,,,,,,,,,
February,,,,0.39,3.17,1.66,4.67,1.14,3.59,2.15,2.69,,,,,,,,,
March,,,,2.28,1.12,1.44,1.25,0.89,1.74,2.61,2.36,,,,,,,,,
April,,,,2,2.68,1.03,2.57,0.4,2.24,1.68,1.11,,,,,,,,,
May,,,,2.31,1,0.61,2.44,3.87,1.3,1.04,1.65,,,,,,,,,
June,,,,2.03,3.79,3.67,1.34,3.33,2.75,0.89,0.31,,,,,,,,,
July,,,,1.9,0.95,3.23,1.91,3.92,6.31,3.67,1.78,,,,,,,,,
August,,,1.2,3.02,1.35,1.9,2.67,2.06,1.8,1.37,5.08,,,,,,,,,
September,,,1,2.68,6.28,5.05,1.03,2.74,0.99,3.53,0.46,,,,,,,,,
October,,,4.94,4.6,4.92,2.79,1.75,6.58,1.69,3.53,,,,,,,,,,
November,,,1.06,1.61,4.83,3.55,1.83,3.6,4.91,5.78,,,,,,,,,,
December,,,0.44,4.74,3.46,2.91,2.18,4.03,3.31,3,,,,,,,,,,
Total,,,,29.91,35.47,31.81,26.65,36.38,35.67,31.91,,,,,,,,,,
