EDALE-UPPER-BOOTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK102853,Long,-1.8481856,Lat,53.364474,Elevation,910,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,5.93,,,,,,,5.93,1.99,3.58,2.26,4.89,2,5.56,4.88,2.85,,,,,
February,,,,,,,,,,1.88,,,,,,,3.89,2.5,4.48,3.42,4.97,4.49,1.92,1.45,2.87,,,,,
March,,,,,,,,,,2.43,,,,,,,4.23,4.27,4.54,4.66,0.94,2.74,5.36,5.91,6.76,,,,,
April,,,,,,,,,,5.38,,,,,,,2.41,3.16,3.44,2.86,5.37,3.81,1.66,4.39,2.08,,,,,
May,,,,,,,,,,2.8,,,,,,,4.02,4.77,3.72,3.17,3.29,1.88,3.64,3.05,3.59,,,,,
June,,,,,,,,,,2.69,,,,,,,1.89,7.69,2.1,4,3.94,3.67,5.56,3.1,3.07,,,,,
July,,,,,,,,,,2.34,,,,,,,2.82,3.64,5.26,5.94,6.26,0.58,6.71,1.47,4.87,,,,,
August,,,,,,,,,,2.48,,,,,,,3.28,4.79,4.1,3.34,6.64,2.95,10.51,2.4,3.53,,,,,
September,,,,,,,,,0.64,6.75,,,,,,,1.78,0.77,3.78,3.76,0.38,2.83,3.61,2.11,3.26,,,,,
October,,,,,,,,,4.6,4,,,,,,,6.62,5.78,1.56,6.11,2.71,3.08,3.87,4.47,3.07,,,,,
November,,,,,,,,,3.62,1.98,,,,,,,5.23,4.36,3.93,1.82,5.91,4.6,3.04,5.31,6.44,,,,,
December,,,,,,,,,5.79,3.76,,,,,,,5.19,3.82,3.88,9.26,6.5,8.53,7.75,3.06,6.72,,,,,
Total,,,,,,,,,,42.42,,,,,,,47.29,47.54,44.37,50.6,51.8,41.16,59.19,41.6,49.11,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Upper Booth. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890s record has different observer and may be different location but altitudes are the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
