BURNLEY WW CANT CLOUGH N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD890313,Long,-2.1684,Lat,53.777914,Elevation,846,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2960/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,6.65,2.97,2.54,5.39,8.46,7.23,4.53,6.31,4.75,11.15,3.26,4.19,5.68,6.67,2.27,4.73,2.45,6.1,4.42,5.29,3.34,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,5.67,2.29,6.08,2.3,3.88,2.8,5.76,6.88,3.63,3.94,3.91,6.43,4.77,2.01,2.92,3.88,2.53,1.48,4.38,6.89,0.71,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.76,3.48,4.86,4.2,1.42,0.79,1.81,1.92,5.13,2.99,2.08,3.25,5.74,2.64,2.37,3.34,2.65,2.04,4.16,2.33,2.32,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.55,4.05,2.82,2.57,2.99,3.27,2.58,1.81,5.92,3.01,4.28,3.97,3.51,3.75,3.93,0.71,2.37,4.15,0.4,1.45,3.84,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.02,1.36,2.54,3.99,3.4,3.69,4.84,1.7,3.17,1.55,2.98,2.67,2.59,2.16,2.43,4.14,4.3,1.84,1.88,5.59,2.28,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.53,0.92,0.45,1.12,3.73,3.75,4.74,3.19,3.25,5.61,0.79,2.52,1.48,3.61,3.89,2.79,3.05,2.87,2.39,5.11,3.43,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,7.17,4.45,1.9,5.19,2.89,3.43,3.18,3.48,4.45,2.2,1.99,5.3,4.42,3.01,5.87,4.94,1.34,5.17,5.79,3.8,3.18,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.71,2.42,6.2,4.65,6.69,3.6,4.05,8.01,0.31,5.19,3.46,7.67,5.42,6.86,5.65,7.96,1.55,12.05,6.24,4.53,0.99,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.79,4.34,0.75,2.9,4.79,7.21,3.22,7.49,3.61,4.06,1.37,8.35,3.6,5.34,5.15,5.93,3.01,4.35,6.39,5.97,0.26,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.55,5.25,5.51,7.94,3.37,5.72,6.51,1.58,1.4,2.95,6.39,3.86,1.66,6.33,2.52,7.5,3.37,2.77,5.77,4.31,6.12,6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,8.17,9.11,3.46,1.15,4.35,8.29,0.53,9.19,6.48,2.66,7.32,6.73,12.03,3.03,6.28,8.31,3.14,1.93,2.75,1.79,6.64,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,3.08,4.67,3.52,4.45,3.28,5.37,4,6.03,4.7,5.44,9.04,4.05,11.61,5.36,2.12,7.4,6.39,6.08,6.25,5.4,9.82,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,50.65,45.31,40.63,45.85,49.25,55.15,45.75,57.59,46.8,50.75,46.87,58.99,62.51,50.77,45.4,61.63,36.15,50.83,50.82,52.46,42.93,57.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
