ORPINGTON (KENT WATERWORKS),,,,,,,,,,,,
Grid ref,TQ459652,Long,0.094485,Lat,51.367128,,,,,,,
Station no,394,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.69,2.43,1.20,1.69,3.35,3.86,1.38,2.70,3.14,2.33,,
February,7.15,0.93,1.78,2.27,1.89,0.47,3.31,2.61,0.12,2.23,,
March,3.43,2.99,0.37,2.19,1.10,1.05,1.02,1.65,1.79,1.79,,
April,3.01,1.14,2.48,0.27,0.19,1.34,0.27,1.54,2.37,0.59,,
May,2.15,1.52,1.85,2.23,3.84,0.43,1.13,1.78,1.49,1.85,,
June,1.16,1.33,1.75,4.61,2.10,3.38,1.17,4.29,1.29,1.51,,
July,1.86,0.81,3.12,2.45,0.03,4.75,3.40,1.78,1.63,3.54,,
August,3.47,2.89,1.44,3.19,1.35,2.85,3.30,3.50,1.05,3.85,,
September,2.77,3.50,3.55,2.23,2.53,2.39,2.48,5.64,0.19,4.86,,
October,0.99,3.05,4.22,1.80,4.65,1.27,1.47,3.17,2.14,6.85,,
November,4.49,4.22,1.23,5.26,0.77,0.59,3.12,1.64,3.04,4.60,,
December,2.90,2.28,0.81,1.96,2.00,2.87,2.03,2.93,4.72,2.93,,
Total,36.07,27.09,23.80,30.15,23.80,25.25,24.08,33.23,22.97,36.93,,
Calc annual,36.07,27.09,23.80,30.15,23.80,25.25,24.08,33.23,22.97,36.93,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
