REDHILL-THORNIELEE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ277510,Long,-0.17188535,Lat,51.24389,Elevation,275,ft.,,,,,,,,,,,,
Station no,RR8453,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.15,7.09,1.74,3.16,0.54,1.19,1.82,3.69,2.83,,,,,
February,,,,,,,2.7,2.59,1.85,3.91,2.96,4.11,2,4.25,1.73,,,,,
March,,,,,,,3.26,2.96,1.17,0.72,0.93,1.93,3.21,1.26,1.89,,,,,
April,,,,,,,2.11,4.2,3.76,3.06,1.5,0.78,3.16,1.41,1.67,,,,,
May,,,,,,,1.17,2.48,3.76,4.25,0.22,1.22,3.38,2.03,0.54,,,,,
June,,,,,,,1.43,0.85,1.46,4.49,2.65,2.11,0.92,1.85,1.9,,,,,
July,,,,,,,0.66,3.53,0.86,4.27,3.65,1.75,1.87,2.65,1.49,,,,,
August,,,,,,,1.9,3.38,5.2,5.15,0.9,4.28,1.31,1.37,1.24,,,,,
September,,,,,,,3.13,1.49,1.29,3.13,5.69,2.6,2.72,4.02,3.13,,,,,
October,,,,,,,1.9,2.32,3.09,1.1,7.1,2.35,7.28,2.86,1.65,,,,,
November,,,,,,,3.08,6.67,4.81,1.66,3.34,4.22,2.94,4.66,1.8,,,,,
December,,,,,,,7.34,2.13,1.76,0.66,3.57,3.56,2.76,1.08,3.68,,,,,
Total,,,,,,,29.83,39.69,30.75,35.56,33.05,30.1,33.37,31.13,23.55,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is based on the relationship to the church, adjusted to match altitude.",,,,,,,,,,,,,,,,,,,,
NGR could be +/- 200m,,,,,,,,,,,,,,,,,,,,
