NETHER CRAIG,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 46799 61217,Long,-4.44682,Lat,55.819828,Elevation,160,ft,,,,,,,,,,,,
Station no,RR2792,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,-999,9.8,3.75,,5,,2.9,3.9,6.9,3.9,6.2,8.4,1,,
February,,,,,,-999,3,7.55,,6.2,,4.2,5.2,1.35,4.3,2.7,3.6,3,,
March,,,,,,-999,7.1,1.35,4.6,4.6,,3.7,6.9,1.35,5.1,3.9,7,2.3,,
April,,,,,,-999,3.2,2.2,2.85,1.8,,3.3,,3.25,1.9,2,1.9,1.4,,
May,,,,,,-999,0.4,2.5,2,3.4,,3.5,3.25,2.75,,0.95,2.6,4.8,,
June,,,,,,-999,4.5,2.4,5.1,,,3,3.1,2.1,3.55,4.6,4.6,,,
July,,,,,,4.6,9.4,3.3,5.2,,,3.3,3.2,4.35,3.3,3.25,5.6,,,
August,,,,,,2.8,5.3,5,4.65,,,5.5,2.3,3.2,3.5,3.2,6.2,,,
September,,,,,,7.8,7.3,3.3,3.6,,5.65,4.9,2.4,1.95,2.5,5.5,3.3,,,
October,,,,,,3.6,3.2,8.65,6.6,,1.5,6.4,1,6.45,2.65,7.6,6.5,,,
November,,,,,,7.2,7.1,7,4,,3.6,3.9,2.8,5.9,4,9.6,4.9,,,
December,,,,,2.3,3.2,8,5.5,4.65,,2,6.45,11.3,1.5,0.65,8.5,3.5,,,
Total,,,,,,53,68.3,52.5,,,,51.05,,41.05,,58,58.1,,,
,,,,,,,,,,,,,,,,,,,,
1835 Figures Bracketed -999 to keep Total,,,,,,,,,,,,,,,,,,,,
