"ST AUSTELL (POLTAIR PUBLIC GARDENS)",,,,,,,,,,,,
Grid ref,SX018525,Long,-4.786672,Lat,50.338995,,,,,,,
Station no,1928/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.32,5.46,1.43,3.09,6.96,5.49,3.82,6.74,7.34,5.90,,
February,5.36,1.51,2.01,5.65,5.11,0.96,5.94,6.59,0.61,4.82,,
March,5.65,4.30,1.10,3.87,1.44,2.26,5.66,4.09,6.20,4.37,,
April,3.99,3.60,3.04,0.85,1.59,1.40,0.51,1.24,4.30,3.47,,
May,3.40,3.14,4.12,4.18,4.40,1.02,3.28,5.13,1.56,2.68,,
June,0.81,1.34,2.55,4.24,3.82,3.22,4.16,4.48,1.11,2.72,,
July,1.72,1.36,4.28,4.40,0.18,4.32,3.09,4.30,2.21,6.04,,
August,5.09,4.61,2.06,2.80,0.22,4.45,4.45,7.58,6.54,2.87,,
September,4.76,5.11,4.10,4.83,2.03,5.95,4.04,6.94,0.14,6.51,,
October,2.01,7.63,2.78,4.09,4.21,2.84,3.43,3.83,8.17,9.27,,
November,6.87,5.78,3.03,8.20,3.83,2.73,3.32,3.64,9.13,7.43,,
December,5.02,5.31,1.58,5.39,6.95,7.83,3.62,7.26,9.45,5.73,,
Total,50.00,49.15,32.08,51.59,40.74,42.47,45.32,61.82,56.76,61.81,,
Calc annual,50.00,49.15,32.08,51.59,40.74,42.47,45.32,61.82,56.76,61.81,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
