ST-AUSTELL-POLTAIR-PUBLIC-GDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX018525,Long,-4.78578,Lat,50.33952,Elevation,310,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1928/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,8.29,3.94,6.63,6.09,8.62,4.41,3.77,5.78,4.47,9.36,2.14,2.85,5.32,5.46,1.43,3.09,6.96,5.49,3.82,6.74,7.34,5.9
February,,,,,,,,,2.85,6.61,7.26,0.56,2.68,1.43,4.75,4.6,2.19,1.72,2.44,8.51,5.36,1.51,2.01,5.65,5.11,0.96,5.94,6.59,0.61,4.82
March,,,,,,,,,2.31,4.07,3.73,4.38,1.01,0.45,1.15,3.18,11.63,1.91,2.43,2.46,5.65,4.3,1.1,3.87,1.44,2.26,5.66,4.09,6.2,4.37
April,,,,,,,,,3.79,3.36,1.53,2.35,1.32,2.83,1.49,1.75,3.01,2.67,1.88,2.99,3.99,3.6,3.04,0.85,1.59,1.4,0.51,1.24,4.3,3.47
May,,,,,,,,,2.09,1.54,3.25,8.46,4.96,0.74,4.45,4.93,4.01,2.26,3.18,2.15,3.4,3.14,4.12,4.18,4.4,1.02,3.28,5.13,1.56,2.68
June,,,,,,,,,3.06,0.98,2.48,0.63,2.06,3.02,4.72,3.36,5.02,2.4,1.33,1.78,0.81,1.34,2.55,4.24,3.82,,4.16,4.48,1.11,2.72
July,,,,,,,,,8.22,3.7,1.18,3.21,2.85,3.38,5.22,2.72,3.13,2.26,2.55,4.43,1.72,1.36,4.28,4.4,0.18,4.32,3.09,4.3,2.21,6.04
August,,,,,,,,,2.41,0.25,6.72,3.36,4.31,4.08,2.75,6.17,1.67,3.53,1.6,7.26,5.09,4.61,2.06,2.8,0.22,,4.45,7.58,6.54,2.87
September,,,,,,,,,0.79,2.84,0.67,4.26,4.68,3.64,2.6,6.87,1.96,2.52,4.72,7.12,4.76,5.11,4.1,4.83,2.03,5.95,4.04,6.94,0.14,6.51
October,,,,,,,,,4.79,4.07,2.41,3.68,4.06,5.29,4.27,4.06,2.23,7.29,9.22,2.61,2.01,7.63,2.78,4.09,4.21,2.84,3.43,3.83,8.17,9.27
November,,,,,,,,,8.67,8.15,3.3,1.09,3.88,9.8,1.75,7.02,4.89,3.31,6.81,9.82,6.87,5.78,3.03,8.2,3.83,2.73,3.32,3.64,9.13,7.43
December,,,,,,,,,3.71,5.87,3.79,6.44,3.38,4.97,8.47,6.42,4.35,7.94,3.01,6.68,5.02,5.31,1.58,5.39,6.95,7.83,3.62,7.26,9.45,5.73
Total,,,,,,,,,50.98,45.38,42.95,44.51,43.81,44.04,45.39,56.86,48.56,47.17,41.31,58.66,50,49.15,32.08,51.59,40.74,,45.32,61.82,56.76,61.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Feb 28th Estimated to agree with monthly total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 July 26th Inspection Exposure not satisfactory until a row of elms to S have been lopped Small leak in upper part of funnel to be repaired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 June Aug adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as ST AUSTELL  SRC_ID 1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
