NAIRN (BALBLAIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH873553,Long,-3.886043,Lat,57.573657,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.65,2.97,1.9,2.35,1.49,2.13,1.62,2.24,3.17,0.57,2.04,3.07,3.05,1.43,1.8,1.42,2.59,2.67,2.75,2.88,0.8,1.07,2.2,1.01,2.69,2.36,0.76,0.87,2.22,3.13,1.96,2.28,2.27,1.34,1.66,1.67,1.51,2.38,3.04,2.64,2.86
February,2.34,0.6,1.91,1.39,1.35,3.01,1.08,0.85,2.04,0.34,0.67,1.89,0.48,2.36,0.7,2.27,1.33,2.12,1.1,1.58,0.67,2.08,1.91,2.19,1.62,1.62,1.71,0.47,2.08,1.42,1.9,2.16,1.26,1.53,1.02,2.33,1.61,1.63,3.06,0.66,1.97
March,2.04,1.77,1.63,0.38,0.98,2.02,2.2,1.43,1.6,0.28,1.11,1.37,2.97,0.6,2.64,1.45,0.87,1.45,1,1.67,2.6,1.59,0.61,1.77,1.27,0.66,0.9,1.23,1.33,1.85,1.36,1.76,1.54,0.98,1.32,1.05,0.86,3.41,1.04,1.22,0.57
April,1.57,0.57,2.68,2,0.38,1.53,1.36,2.1,0.75,1.54,1.29,1.91,3.15,2.05,4.3,2.57,0.74,0.63,0.46,1.18,1.39,0.95,1.74,1.26,1.76,1.13,0.93,1.63,2.71,2.51,2.92,4.55,0.73,2.65,0.88,1,2.25,0.56,1.63,2.85,1.51
May,1.37,2.98,1.95,3.08,2.84,1.81,2.46,2.49,1.9,2.54,1.31,2.65,2.87,1.87,2.07,1.66,1.27,1.24,2.3,0.7,1.61,2.89,3.26,3.73,1.88,2.65,1.67,1.54,2.62,2.06,2.28,0.73,1.54,3.62,3.89,2.23,1.14,0.85,2.84,0.61,0.23
June,0.53,0.87,1.72,0.89,2.6,0.44,2.81,3.19,3.05,1.69,1.08,3.23,0.16,2.19,1.33,2.93,1.17,2.37,3.45,1.81,0.57,0.45,0.9,1.91,3.26,2.73,2.58,3.61,4.7,1.03,2.08,1.96,1.79,3.17,2.34,1,2.69,2.09,2.18,2.27,3.29
July,2.38,2.05,3.13,2.17,3.6,2.04,1.68,1.68,1.59,2.15,2.4,4.76,3.16,2.03,4.57,1.34,5.12,3.38,5.3,6.32,8.63,2.27,3.04,1.69,1.06,2.45,5.22,2.13,2.62,1.73,2.33,3.42,2,4.65,2.68,0.64,5.74,5.73,3.09,2.44,2.62
August,2.71,2.07,2.76,5.29,5.23,0.97,1.31,2.56,3.07,3.69,5.19,2.12,2.13,1.86,1.88,3.13,2.39,4.5,1.69,1.5,1.36,6.21,3.48,4.03,1.6,3.15,3.45,0.45,5.03,5.15,2.04,5.14,4.25,2.8,2.6,0.32,4.63,4.87,3.96,1.01,7.87
September,2.75,1.14,1.67,2.23,3.85,3.73,2.19,5,3.1,1.64,3.12,1.35,2.39,0.65,1.16,4.07,2.38,1.31,3.98,1.28,1.76,0.79,3.52,2.32,2.93,1.81,4.28,3.54,2.78,1.11,4.47,0.69,1.8,2.33,2.13,1.74,3.44,1.4,2.64,0.58,2.73
October,0.44,2.26,1.6,3.19,3.64,1.54,3.19,3.96,2.29,3.26,3.73,2.39,5.21,3.19,3.05,5.19,2.25,2.47,4.08,2.85,3.41,4.33,4.23,2.58,3.08,3.47,0.27,1.18,2.41,1.68,1.06,1.39,1.79,0.88,5.81,3.81,2.73,1.51,2.04,2.86,2.24
November,1.37,0.87,1.6,2.64,0.83,0.62,2.03,2.23,3.31,1.38,4.77,1.64,3.06,0.91,0.89,2.65,1.46,0.64,3.17,2.41,4.18,2.41,0.86,2.3,3.58,0.21,2.97,4.24,1.97,2.54,3.31,3.9,2.75,2.28,1.72,0.55,1.57,1.74,0.9,2.81,1.9
December,0.95,3.67,1.11,1.84,2.59,2.08,1.38,1.14,1.77,1.89,1.96,1.42,1.92,0.3,2.24,1.75,2.41,1.72,1.07,2.28,2.67,2.19,2.28,0.54,2.54,2.35,0.77,1.52,2.16,5.39,2.5,3.84,2.38,2.27,4.03,5.05,2.64,2.65,1.75,1.37,1.38
Total,21.1,21.82,23.66,27.45,29.38,21.92,23.31,28.87,27.64,20.97,28.67,27.8,30.55,19.44,26.63,30.43,23.98,24.5,30.35,26.46,29.65,27.23,28.03,25.33,27.27,24.59,25.51,22.41,32.63,29.6,28.21,31.82,24.1,28.5,30.08,21.39,30.81,28.82,28.17,21.32,29.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Small gauge move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
