"NAIRN (BALBLAIR)",,,,,,,,,,,,
Grid ref,NH873553,Long,-3.886043,Lat,57.573657,,,,,,,
Station no,5687,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.28,2.27,1.34,1.66,1.67,1.51,2.38,3.04,2.64,2.86,,
February,2.16,1.26,1.53,1.02,2.33,1.61,1.63,3.06,0.66,1.97,,
March,1.76,1.54,0.98,1.32,1.05,0.86,3.41,1.04,1.22,0.57,,
April,4.55,0.73,2.65,0.88,1.00,2.25,0.56,1.63,2.85,1.51,,
May,0.73,1.54,3.62,3.89,2.23,1.14,0.85,2.84,0.61,0.23,,
June,1.96,1.79,3.17,2.34,1.00,2.69,2.09,2.18,2.27,3.29,,
July,3.42,2.00,4.65,2.68,0.64,5.74,5.73,3.09,2.44,2.62,,
August,5.14,4.25,2.80,2.60,0.32,4.63,4.87,3.96,1.01,7.87,,
September,0.69,1.80,2.33,2.13,1.74,3.44,1.40,2.64,0.58,2.73,,
October,1.39,1.79,0.88,5.81,3.81,2.73,1.51,2.04,2.86,2.24,,
November,3.90,2.75,2.28,1.72,0.55,1.57,1.74,0.90,2.81,1.90,,
December,3.84,2.38,2.27,4.03,5.05,2.64,2.65,1.75,1.37,1.38,,
Total,31.82,24.10,28.50,30.08,21.39,30.81,28.82,28.17,21.32,29.17,,
Calc annual,31.82,24.10,28.50,30.08,21.39,30.81,28.82,28.17,21.32,29.17,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
